Division Number: 268
Division Date: 20 April 2021 - 17:13

Finance (No. 2) Bill Committee: Amendment 81

Aye Count: 214
No Count: 364
Result: Question accordingly disagreed.

Members recorded
Member,Party,Constituency,Vote,Proxy Member
"Diane Abbott","Labour","Hackney North and Stoke Newington","Aye","Bell Ribeiro-Addy"
"Debbie Abrahams","Labour","Oldham East and Saddleworth","Aye","Chris Elmore"
"Nigel Adams","Conservative","Selby and Ainsty","No","Stuart Andrew"
"Bim Afolami","Conservative","Hitchin and Harpenden","No","Stuart Andrew"
"Adam Afriyie","Conservative","Windsor","No","Stuart Andrew"
"Imran Ahmad Khan","Conservative","Wakefield","No","Stuart Andrew"
"Nickie Aiken","Conservative","Cities of London and Westminster","No","Stuart Andrew"
"Peter Aldous","Conservative","Waveney","No","Stuart Andrew"
"Rushanara Ali","Labour","Bethnal Green and Bow","Aye","Chris Elmore"
"Tahir Ali","Labour","Birmingham, Hall Green","Aye","Chris Elmore"
"Lucy Allan","Conservative","Telford","No","Stuart Andrew"
"Rosena Allin-Khan","Labour","Tooting","Aye","Chris Elmore"
"Mike Amesbury","Labour","Weaver Vale","Aye","Chris Elmore"
"David Amess","Conservative","Southend West","No","Stuart Andrew"
"Fleur Anderson","Labour","Putney","Aye","Chris Elmore"
"Lee Anderson","Conservative","Ashfield","No","Stuart Andrew"
"Stuart Anderson","Conservative","Wolverhampton South West","No","Stuart Andrew"
"Stuart Andrew","Conservative","Pudsey","No",""
"Caroline Ansell","Conservative","Eastbourne","No","Stuart Andrew"
"Tonia Antoniazzi","Labour","Gower","Aye","Chris Elmore"
"Edward Argar","Conservative","Charnwood","No","Stuart Andrew"
"Jonathan Ashworth","Labour","Leicester South","Aye","Chris Elmore"
"Sarah Atherton","Conservative","Wrexham","No","Stuart Andrew"
"Victoria Atkins","Conservative","Louth and Horncastle","No","Stuart Andrew"
"Gareth Bacon","Conservative","Orpington","No","Stuart Andrew"
"Richard Bacon","Conservative","South Norfolk","No","Stuart Andrew"
"Kemi Badenoch","Conservative","Saffron Walden","No","Stuart Andrew"
"Shaun Bailey","Conservative","West Bromwich West","No","Stuart Andrew"
"Siobhan Baillie","Conservative","Stroud","No","Stuart Andrew"
"Duncan Baker","Conservative","North Norfolk","No","Stuart Andrew"
"Steve Baker","Conservative","Wycombe","No",""
"Harriett Baldwin","Conservative","West Worcestershire","No","Stuart Andrew"
"Steve Barclay","Conservative","North East Cambridgeshire","No","Stuart Andrew"
"Hannah Bardell","Scottish National Party","Livingston","No Vote Recorded",""
"Paula Barker","Labour","Liverpool, Wavertree","Aye","Chris Elmore"
"John Baron","Conservative","Basildon and Billericay","No","Stuart Andrew"
"Simon Baynes","Conservative","Clwyd South","No","Stuart Andrew"
"Margaret Beckett","Labour","Derby South","Aye","Chris Elmore"
"Órfhlaith Begley","Sinn Féin","West Tyrone","No Vote Recorded",""
"Apsana Begum","Labour","Poplar and Limehouse","Aye","Bell Ribeiro-Addy"
"Aaron Bell","Conservative","Newcastle-under-Lyme","No","Stuart Andrew"
"Hilary Benn","Labour","Leeds Central","Aye","Chris Elmore"
"Scott Benton","Conservative","Blackpool South","No","Stuart Andrew"
"Paul Beresford","Conservative","Mole Valley","No","Stuart Andrew"
"Jake Berry","Conservative","Rossendale and Darwen","No","Stuart Andrew"
"Clive Betts","Labour","Sheffield South East","Aye","Chris Elmore"
"Saqib Bhatti","Conservative","Meriden","No","Stuart Andrew"
"Mhairi Black","Scottish National Party","Paisley and Renfrewshire South","No Vote Recorded",""
"Ian Blackford","Scottish National Party","Ross, Skye and Lochaber","No Vote Recorded",""
"Bob Blackman","Conservative","Harrow East","No","Stuart Andrew"
"Kirsty Blackman","Scottish National Party","Aberdeen North","No Vote Recorded",""
"Olivia Blake","Labour","Sheffield, Hallam","Aye","Chris Elmore"
"Paul Blomfield","Labour","Sheffield Central","Aye","Chris Elmore"
"Crispin Blunt","Conservative","Reigate","No","Stuart Andrew"
"Peter Bone","Conservative","Wellingborough","No","Stuart Andrew"
"Steven Bonnar","Scottish National Party","Coatbridge, Chryston and Bellshill","No Vote Recorded",""
"Peter Bottomley","Conservative","Worthing West","No Vote Recorded",""
"Andrew Bowie","Conservative","West Aberdeenshire and Kincardine","No","Stuart Andrew"
"Tracy Brabin","Labour","Batley and Spen","Aye","Chris Elmore"
"Ben Bradley","Conservative","Mansfield","No","Stuart Andrew"
"Karen Bradley","Conservative","Staffordshire Moorlands","No","Stuart Andrew"
"Ben Bradshaw","Labour","Exeter","Aye","Chris Elmore"
"Mickey Brady","Sinn Féin","Newry and Armagh","No Vote Recorded",""
"Graham Brady","Conservative","Altrincham and Sale West","No",""
"Suella Braverman","Conservative","Fareham","No","Stuart Andrew"
"Kevin Brennan","Labour","Cardiff West","Aye","Chris Elmore"
"Jack Brereton","Conservative","Stoke-on-Trent South","No","Stuart Andrew"
"Andrew Bridgen","Conservative","North West Leicestershire","No","Stuart Andrew"
"Steve Brine","Conservative","Winchester","No","Stuart Andrew"
"Paul Bristow","Conservative","Peterborough","No","Stuart Andrew"
"Sara Britcliffe","Conservative","Hyndburn","No","Stuart Andrew"
"Deidre Brock","Scottish National Party","Edinburgh North and Leith","No Vote Recorded",""
"James Brokenshire","Conservative","Old Bexley and Sidcup","No","Stuart Andrew"
"Alan Brown","Scottish National Party","Kilmarnock and Loudoun","No Vote Recorded",""
"Nicholas Brown","Labour","Newcastle upon Tyne East","Aye",""
"Lyn Brown","Labour","West Ham","Aye","Chris Elmore"
"Anthony Browne","Conservative","South Cambridgeshire","No","Stuart Andrew"
"Fiona Bruce","Conservative","Congleton","No","Stuart Andrew"
"Chris Bryant","Labour","Rhondda","Aye","Chris Elmore"
"Felicity Buchan","Conservative","Kensington","No","Stuart Andrew"
"Karen Buck","Labour","Westminster North","Aye","Chris Elmore"
"Robert Buckland","Conservative","South Swindon","No","Stuart Andrew"
"Alex Burghart","Conservative","Brentwood and Ongar","No","Stuart Andrew"
"Richard Burgon","Labour","Leeds East","Aye","Bell Ribeiro-Addy"
"Conor Burns","Conservative","Bournemouth West","No","Stuart Andrew"
"Dawn Butler","Labour","Brent Central","Aye","Bell Ribeiro-Addy"
"Rob Butler","Conservative","Aylesbury","No","Stuart Andrew"
"Ian Byrne","Labour","Liverpool, West Derby","Aye","Chris Elmore"
"Liam Byrne","Labour","Birmingham, Hodge Hill","Aye","Chris Elmore"
"Ruth Cadbury","Labour","Brentford and Isleworth","Aye","Chris Elmore"
"Alun Cairns","Conservative","Vale of Glamorgan","No","Stuart Andrew"
"Amy Callaghan","Scottish National Party","East Dunbartonshire","No Vote Recorded",""
"Lisa Cameron","Scottish National Party","East Kilbride, Strathaven and Lesmahagow","No Vote Recorded",""
"Gregory Campbell","Democratic Unionist Party","East Londonderry","No","Sammy Wilson"
"Alan Campbell","Labour","Tynemouth","Aye","Chris Elmore"
"Dan Carden","Labour","Liverpool, Walton","Aye","Chris Elmore"
"Alistair Carmichael","Liberal Democrat","Orkney and Shetland","Aye","Wendy Chamberlain"
"Andy Carter","Conservative","Warrington South","No","Stuart Andrew"
"James Cartlidge","Conservative","South Suffolk","No","Stuart Andrew"
"William Cash","Conservative","Stone","No","Stuart Andrew"
"Miriam Cates","Conservative","Penistone and Stocksbridge","No","Stuart Andrew"
"Maria Caulfield","Conservative","Lewes","No",""
"Alex Chalk","Conservative","Cheltenham","No","Stuart Andrew"
"Wendy Chamberlain","Liberal Democrat","North East Fife","Aye",""
"Sarah Champion","Labour","Rotherham","Aye","Chris Elmore"
"Douglas Chapman","Scottish National Party","Dunfermline and West Fife","No Vote Recorded",""
"Bambos Charalambous","Labour","Enfield, Southgate","Teller - Ayes",""
"Joanna Cherry","Scottish National Party","Edinburgh South West","No Vote Recorded",""
"Rehman Chishti","Conservative","Gillingham and Rainham","No","Stuart Andrew"
"Christopher Chope","Conservative","Christchurch","No Vote Recorded",""
"Jo Churchill","Conservative","Bury St Edmunds","No","Stuart Andrew"
"Feryal Clark","Labour","Enfield North","Aye","Chris Elmore"
"Greg Clark","Conservative","Tunbridge Wells","No","Stuart Andrew"
"Brendan Clarke-Smith","Conservative","Bassetlaw","No","Stuart Andrew"
"Simon Clarke","Conservative","Middlesbrough South and East Cleveland","No","Stuart Andrew"
"Theo Clarke","Conservative","Stafford","No","Stuart Andrew"
"Chris Clarkson","Conservative","Heywood and Middleton","No","Stuart Andrew"
"James Cleverly","Conservative","Braintree","No","Stuart Andrew"
"Geoffrey Clifton-Brown","Conservative","The Cotswolds","No",""
"Thérèse Coffey","Conservative","Suffolk Coastal","No","Stuart Andrew"
"Elliot Colburn","Conservative","Carshalton and Wallington","No","Stuart Andrew"
"Damian Collins","Conservative","Folkestone and Hythe","No","Stuart Andrew"
"Daisy Cooper","Liberal Democrat","St Albans","Aye","Wendy Chamberlain"
"Rosie Cooper","Labour","West Lancashire","Aye","Chris Elmore"
"Yvette Cooper","Labour","Normanton, Pontefract and Castleford","Aye","Chris Elmore"
"Jeremy Corbyn","Independent","Islington North","Aye","Bell Ribeiro-Addy"
"Alberto Costa","Conservative","South Leicestershire","No","Stuart Andrew"
"Robert Courts","Conservative","Witney","No","Stuart Andrew"
"Claire Coutinho","Conservative","East Surrey","No","Stuart Andrew"
"Ronnie Cowan","Scottish National Party","Inverclyde","No Vote Recorded",""
"Geoffrey Cox","Conservative","Torridge and West Devon","No","Stuart Andrew"
"Neil Coyle","Labour","Bermondsey and Old Southwark","Aye","Chris Elmore"
"Stephen Crabb","Conservative","Preseli Pembrokeshire","No","Stuart Andrew"
"Angela Crawley","Scottish National Party","Lanark and Hamilton East","No Vote Recorded",""
"Stella Creasy","Labour","Walthamstow","Aye","Chris Elmore"
"Virginia Crosbie","Conservative","Ynys Môn","No","Stuart Andrew"
"Tracey Crouch","Conservative","Chatham and Aylesford","No","Stuart Andrew"
"Jon Cruddas","Labour","Dagenham and Rainham","Aye","Chris Elmore"
"John Cryer","Labour","Leyton and Wanstead","Aye","Chris Elmore"
"Judith Cummins","Labour","Bradford South","Aye","Chris Elmore"
"Alex Cunningham","Labour","Stockton North","Aye","Chris Elmore"
