Division Number: 280
Division Date: 27 April 2021 - 18:00

Abortion (Northern Ireland) Regulations 2021

Aye Count: 431
No Count: 89
Result: Question accordingly agreed.

Members recorded
Member,Party,Constituency,Vote,Proxy Member
"Diane Abbott","Labour","Hackney North and Stoke Newington","Aye","Bell Ribeiro-Addy"
"Debbie Abrahams","Labour","Oldham East and Saddleworth","Aye","Chris Elmore"
"Nigel Adams","Conservative","Selby and Ainsty","Aye","Stuart Andrew"
"Bim Afolami","Conservative","Hitchin and Harpenden","Aye","Stuart Andrew"
"Adam Afriyie","Conservative","Windsor","Aye","Stuart Andrew"
"Imran Ahmad Khan","Conservative","Wakefield","Aye","Stuart Andrew"
"Nickie Aiken","Conservative","Cities of London and Westminster","Aye","Stuart Andrew"
"Peter Aldous","Conservative","Waveney","No Vote Recorded",""
"Rushanara Ali","Labour","Bethnal Green and Bow","Aye","Chris Elmore"
"Tahir Ali","Labour","Birmingham, Hall Green","Aye","Chris Elmore"
"Lucy Allan","Conservative","Telford","Aye","Stuart Andrew"
"Rosena Allin-Khan","Labour","Tooting","Aye","Chris Elmore"
"Mike Amesbury","Labour","Weaver Vale","Aye","Chris Elmore"
"David Amess","Conservative","Southend West","No","Stuart Andrew"
"Fleur Anderson","Labour","Putney","Aye","Chris Elmore"
"Lee Anderson","Conservative","Ashfield","Aye","Stuart Andrew"
"Stuart Anderson","Conservative","Wolverhampton South West","No","Stuart Andrew"
"Stuart Andrew","Conservative","Pudsey","Aye",""
"Caroline Ansell","Conservative","Eastbourne","No","Stuart Andrew"
"Tonia Antoniazzi","Labour","Gower","Aye","Chris Elmore"
"Edward Argar","Conservative","Charnwood","Aye","Stuart Andrew"
"Jonathan Ashworth","Labour","Leicester South","Aye","Chris Elmore"
"Sarah Atherton","Conservative","Wrexham","Aye","Stuart Andrew"
"Victoria Atkins","Conservative","Louth and Horncastle","Aye","Stuart Andrew"
"Gareth Bacon","Conservative","Orpington","No","Stuart Andrew"
"Richard Bacon","Conservative","South Norfolk","Aye","Stuart Andrew"
"Kemi Badenoch","Conservative","Saffron Walden","Aye","Stuart Andrew"
"Shaun Bailey","Conservative","West Bromwich West","Aye","Stuart Andrew"
"Siobhan Baillie","Conservative","Stroud","Aye","Stuart Andrew"
"Duncan Baker","Conservative","North Norfolk","Aye","Stuart Andrew"
"Steve Baker","Conservative","Wycombe","No",""
"Harriett Baldwin","Conservative","West Worcestershire","No Vote Recorded",""
"Steve Barclay","Conservative","North East Cambridgeshire","Aye","Stuart Andrew"
"Hannah Bardell","Scottish National Party","Livingston","No Vote Recorded",""
"Paula Barker","Labour","Liverpool, Wavertree","Aye","Chris Elmore"
"John Baron","Conservative","Basildon and Billericay","Aye","Stuart Andrew"
"Simon Baynes","Conservative","Clwyd South","Aye","Stuart Andrew"
"Margaret Beckett","Labour","Derby South","Aye","Chris Elmore"
"Órfhlaith Begley","Sinn Féin","West Tyrone","No Vote Recorded",""
"Apsana Begum","Labour","Poplar and Limehouse","Aye","Bell Ribeiro-Addy"
"Aaron Bell","Conservative","Newcastle-under-Lyme","Aye","Stuart Andrew"
"Hilary Benn","Labour","Leeds Central","Aye","Chris Elmore"
"Scott Benton","Conservative","Blackpool South","No","Stuart Andrew"
"Paul Beresford","Conservative","Mole Valley","Aye","Stuart Andrew"
"Jake Berry","Conservative","Rossendale and Darwen","Aye","Stuart Andrew"
"Clive Betts","Labour","Sheffield South East","Aye","Chris Elmore"
"Saqib Bhatti","Conservative","Meriden","No Vote Recorded",""
"Mhairi Black","Scottish National Party","Paisley and Renfrewshire South","No Vote Recorded",""
"Ian Blackford","Scottish National Party","Ross, Skye and Lochaber","No Vote Recorded",""
"Bob Blackman","Conservative","Harrow East","No","Stuart Andrew"
"Kirsty Blackman","Scottish National Party","Aberdeen North","No Vote Recorded",""
"Olivia Blake","Labour","Sheffield, Hallam","Aye","Chris Elmore"
"Paul Blomfield","Labour","Sheffield Central","Aye","Chris Elmore"
"Crispin Blunt","Conservative","Reigate","Aye","Stuart Andrew"
"Peter Bone","Conservative","Wellingborough","No","Stuart Andrew"
"Steven Bonnar","Scottish National Party","Coatbridge, Chryston and Bellshill","No Vote Recorded",""
"Peter Bottomley","Conservative","Worthing West","Aye",""
"Andrew Bowie","Conservative","West Aberdeenshire and Kincardine","Aye","Stuart Andrew"
"Tracy Brabin","Labour","Batley and Spen","Aye","Chris Elmore"
"Ben Bradley","Conservative","Mansfield","No","Stuart Andrew"
"Karen Bradley","Conservative","Staffordshire Moorlands","No Vote Recorded",""
"Ben Bradshaw","Labour","Exeter","Aye","Chris Elmore"
"Mickey Brady","Sinn Féin","Newry and Armagh","No Vote Recorded",""
"Graham Brady","Conservative","Altrincham and Sale West","Aye",""
"Suella Braverman","Conservative","Fareham","Aye","Stuart Andrew"
"Kevin Brennan","Labour","Cardiff West","Aye","Chris Elmore"
"Jack Brereton","Conservative","Stoke-on-Trent South","Aye","Stuart Andrew"
"Andrew Bridgen","Conservative","North West Leicestershire","No Vote Recorded",""
"Steve Brine","Conservative","Winchester","Aye",""
"Paul Bristow","Conservative","Peterborough","Aye","Stuart Andrew"
"Sara Britcliffe","Conservative","Hyndburn","Aye","Stuart Andrew"
"Deidre Brock","Scottish National Party","Edinburgh North and Leith","No Vote Recorded",""
"James Brokenshire","Conservative","Old Bexley and Sidcup","No Vote Recorded",""
"Alan Brown","Scottish National Party","Kilmarnock and Loudoun","No Vote Recorded",""
"Nicholas Brown","Labour","Newcastle upon Tyne East","Aye",""
"Lyn Brown","Labour","West Ham","Aye","Chris Elmore"
"Anthony Browne","Conservative","South Cambridgeshire","Aye","Stuart Andrew"
"Fiona Bruce","Conservative","Congleton","No","Stuart Andrew"
"Chris Bryant","Labour","Rhondda","Aye","Chris Elmore"
"Felicity Buchan","Conservative","Kensington","Aye","Stuart Andrew"
"Karen Buck","Labour","Westminster North","Aye","Chris Elmore"
"Robert Buckland","Conservative","South Swindon","Aye","Stuart Andrew"
"Alex Burghart","Conservative","Brentwood and Ongar","Aye","Stuart Andrew"
"Richard Burgon","Labour","Leeds East","Aye","Bell Ribeiro-Addy"
"Conor Burns","Conservative","Bournemouth West","No Vote Recorded",""
"Dawn Butler","Labour","Brent Central","Aye","Bell Ribeiro-Addy"
"Rob Butler","Conservative","Aylesbury","No Vote Recorded",""
"Ian Byrne","Labour","Liverpool, West Derby","Aye","Bell Ribeiro-Addy"
"Liam Byrne","Labour","Birmingham, Hodge Hill","Aye","Chris Elmore"
"Ruth Cadbury","Labour","Brentford and Isleworth","Aye","Chris Elmore"
"Alun Cairns","Conservative","Vale of Glamorgan","No Vote Recorded",""
"Amy Callaghan","Scottish National Party","East Dunbartonshire","No Vote Recorded",""
"Lisa Cameron","Scottish National Party","East Kilbride, Strathaven and Lesmahagow","No","Owen Thompson"
"Gregory Campbell","Democratic Unionist Party","East Londonderry","No","Carla Lockhart"
"Alan Campbell","Labour","Tynemouth","Aye","Chris Elmore"
"Dan Carden","Labour","Liverpool, Walton","Aye","Chris Elmore"
"Alistair Carmichael","Liberal Democrat","Orkney and Shetland","Aye","Wendy Chamberlain"
"Andy Carter","Conservative","Warrington South","Aye","Stuart Andrew"
"James Cartlidge","Conservative","South Suffolk","No Vote Recorded",""
"William Cash","Conservative","Stone","No","Stuart Andrew"
"Miriam Cates","Conservative","Penistone and Stocksbridge","No","Stuart Andrew"
"Maria Caulfield","Conservative","Lewes","Teller - Ayes",""
"Alex Chalk","Conservative","Cheltenham","Aye","Stuart Andrew"
"Wendy Chamberlain","Liberal Democrat","North East Fife","Aye",""
"Sarah Champion","Labour","Rotherham","Aye","Chris Elmore"
"Douglas Chapman","Scottish National Party","Dunfermline and West Fife","No Vote Recorded",""
"Bambos Charalambous","Labour","Enfield, Southgate","Aye",""
"Joanna Cherry","Scottish National Party","Edinburgh South West","No Vote Recorded",""
"Rehman Chishti","Conservative","Gillingham and Rainham","No","Stuart Andrew"
"Christopher Chope","Conservative","Christchurch","No",""
"Jo Churchill","Conservative","Bury St Edmunds","Aye","Stuart Andrew"
"Feryal Clark","Labour","Enfield North","Aye","Chris Elmore"
"Greg Clark","Conservative","Tunbridge Wells","Aye","Stuart Andrew"
"Brendan Clarke-Smith","Conservative","Bassetlaw","Aye","Stuart Andrew"
"Simon Clarke","Conservative","Middlesbrough South and East Cleveland","No Vote Recorded",""
"Theo Clarke","Conservative","Stafford","Aye","Stuart Andrew"
"Chris Clarkson","Conservative","Heywood and Middleton","Aye","Stuart Andrew"
"James Cleverly","Conservative","Braintree","Aye","Stuart Andrew"
"Geoffrey Clifton-Brown","Conservative","The Cotswolds","Aye","Stuart Andrew"
"Thérèse Coffey","Conservative","Suffolk Coastal","No Vote Recorded",""
"Elliot Colburn","Conservative","Carshalton and Wallington","Aye","Stuart Andrew"
"Damian Collins","Conservative","Folkestone and Hythe","Aye","Stuart Andrew"
"Daisy Cooper","Liberal Democrat","St Albans","Aye","Wendy Chamberlain"
"Rosie Cooper","Labour","West Lancashire","No Vote Recorded",""
"Yvette Cooper","Labour","Normanton, Pontefract and Castleford","Aye","Chris Elmore"
"Jeremy Corbyn","Independent","Islington North","Aye","Bell Ribeiro-Addy"
"Alberto Costa","Conservative","South Leicestershire","Aye","Stuart Andrew"
"Robert Courts","Conservative","Witney","No","Stuart Andrew"
"Claire Coutinho","Conservative","East Surrey","Aye","Stuart Andrew"
"Ronnie Cowan","Scottish National Party","Inverclyde","No Vote Recorded",""
"Geoffrey Cox","Conservative","Torridge and West Devon","No","Stuart Andrew"
"Neil Coyle","Labour","Bermondsey and Old Southwark","Aye","Chris Elmore"
"Stephen Crabb","Conservative","Preseli Pembrokeshire","No","Stuart Andrew"
"Angela Crawley","Scottish National Party","Lanark and Hamilton East","No Vote Recorded",""
"Stella Creasy","Labour","Walthamstow","Aye","Chris Elmore"
"Virginia Crosbie","Conservative","Ynys Môn","No","Stuart Andrew"
"Tracey Crouch","Conservative","Chatham and Aylesford","Aye","Stuart Andrew"
"Jon Cruddas","Labour","Dagenham and Rainham","Aye","Chris Elmore"
"John Cryer","Labour","Leyton and Wanstead","Aye","Chris Elmore"
