Division Number: 27
Division Date: 16 June 2021

Draft Climate Change Act 2008 (Credit Limit) Order 2021

Aye Count: 363
No Count: 263
Result: Question accordingly agreed.

Members recorded
Member,Party,Constituency,Vote,Proxy Member
"Diane Abbott","Labour","Hackney North and Stoke Newington","No","Zarah Sultana"
"Debbie Abrahams","Labour","Oldham East and Saddleworth","No","Mark Tami"
"Nigel Adams","Conservative","Selby and Ainsty","Aye","Stuart Andrew"
"Bim Afolami","Conservative","Hitchin and Harpenden","Aye","Stuart Andrew"
"Adam Afriyie","Conservative","Windsor","Aye","Stuart Andrew"
"Imran Ahmad Khan","Conservative","Wakefield","Aye","Stuart Andrew"
"Nickie Aiken","Conservative","Cities of London and Westminster","Aye","Stuart Andrew"
"Peter Aldous","Conservative","Waveney","Aye",""
"Rushanara Ali","Labour","Bethnal Green and Bow","No","Mark Tami"
"Tahir Ali","Labour","Birmingham, Hall Green","No","Mark Tami"
"Lucy Allan","Conservative","Telford","Aye","Stuart Andrew"
"Rosena Allin-Khan","Labour","Tooting","No","Mark Tami"
"Mike Amesbury","Labour","Weaver Vale","No","Mark Tami"
"David Amess","Conservative","Southend West","Aye","Stuart Andrew"
"Fleur Anderson","Labour","Putney","No","Mark Tami"
"Lee Anderson","Conservative","Ashfield","Aye","Stuart Andrew"
"Stuart Anderson","Conservative","Wolverhampton South West","Aye","Stuart Andrew"
"Stuart Andrew","Conservative","Pudsey","Aye",""
"Caroline Ansell","Conservative","Eastbourne","Aye","Stuart Andrew"
"Tonia Antoniazzi","Labour","Gower","No","Mark Tami"
"Edward Argar","Conservative","Charnwood","Aye","Stuart Andrew"
"Jonathan Ashworth","Labour","Leicester South","No","Mark Tami"
"Sarah Atherton","Conservative","Wrexham","Aye","Stuart Andrew"
"Victoria Atkins","Conservative","Louth and Horncastle","Aye","Stuart Andrew"
"Gareth Bacon","Conservative","Orpington","Aye","Stuart Andrew"
"Richard Bacon","Conservative","South Norfolk","Aye","Stuart Andrew"
"Kemi Badenoch","Conservative","Saffron Walden","Aye","Stuart Andrew"
"Shaun Bailey","Conservative","West Bromwich West","Aye",""
"Siobhan Baillie","Conservative","Stroud","Aye","Stuart Andrew"
"Duncan Baker","Conservative","North Norfolk","Aye","Stuart Andrew"
"Steve Baker","Conservative","Wycombe","Aye",""
"Harriett Baldwin","Conservative","West Worcestershire","Aye","Stuart Andrew"
"Steve Barclay","Conservative","North East Cambridgeshire","Aye","Stuart Andrew"
"Hannah Bardell","Scottish National Party","Livingston","No","Owen Thompson"
"Paula Barker","Labour","Liverpool, Wavertree","No","Mark Tami"
"John Baron","Conservative","Basildon and Billericay","Aye","Stuart Andrew"
"Simon Baynes","Conservative","Clwyd South","Aye","Stuart Andrew"
"Margaret Beckett","Labour","Derby South","No","Mark Tami"
"Órfhlaith Begley","Sinn Féin","West Tyrone","No Vote Recorded",""
"Apsana Begum","Labour","Poplar and Limehouse","No","Zarah Sultana"
"Aaron Bell","Conservative","Newcastle-under-Lyme","Aye","Stuart Andrew"
"Hilary Benn","Labour","Leeds Central","No","Mark Tami"
"Scott Benton","Conservative","Blackpool South","Aye","Stuart Andrew"
"Paul Beresford","Conservative","Mole Valley","Aye","Stuart Andrew"
"Jake Berry","Conservative","Rossendale and Darwen","Aye","Stuart Andrew"
"Clive Betts","Labour","Sheffield South East","No","Mark Tami"
"Saqib Bhatti","Conservative","Meriden","Aye","Stuart Andrew"
"Mhairi Black","Scottish National Party","Paisley and Renfrewshire South","No","Owen Thompson"
"Ian Blackford","Scottish National Party","Ross, Skye and Lochaber","No","Owen Thompson"
"Bob Blackman","Conservative","Harrow East","Aye","Stuart Andrew"
"Kirsty Blackman","Scottish National Party","Aberdeen North","No","Owen Thompson"
"Olivia Blake","Labour","Sheffield, Hallam","No","Mark Tami"
"Paul Blomfield","Labour","Sheffield Central","No","Mark Tami"
"Crispin Blunt","Conservative","Reigate","Aye","Stuart Andrew"
"Peter Bone","Conservative","Wellingborough","Aye","Stuart Andrew"
"Steven Bonnar","Scottish National Party","Coatbridge, Chryston and Bellshill","No","Owen Thompson"
"Peter Bottomley","Conservative","Worthing West","Aye",""
"Andrew Bowie","Conservative","West Aberdeenshire and Kincardine","Aye","Stuart Andrew"
"Ben Bradley","Conservative","Mansfield","Aye","Stuart Andrew"
"Karen Bradley","Conservative","Staffordshire Moorlands","Aye","Stuart Andrew"
"Ben Bradshaw","Labour","Exeter","No","Mark Tami"
"Mickey Brady","Sinn Féin","Newry and Armagh","No Vote Recorded",""
"Graham Brady","Conservative","Altrincham and Sale West","Aye",""
"Suella Braverman","Conservative","Fareham","Aye","Stuart Andrew"
"Kevin Brennan","Labour","Cardiff West","No","Mark Tami"
"Jack Brereton","Conservative","Stoke-on-Trent South","Aye","Stuart Andrew"
"Andrew Bridgen","Conservative","North West Leicestershire","Aye","Stuart Andrew"
"Steve Brine","Conservative","Winchester","Aye","Stuart Andrew"
"Paul Bristow","Conservative","Peterborough","Aye","Stuart Andrew"
"Sara Britcliffe","Conservative","Hyndburn","Aye","Stuart Andrew"
"Deidre Brock","Scottish National Party","Edinburgh North and Leith","No","Owen Thompson"
"James Brokenshire","Conservative","Old Bexley and Sidcup","Aye","Stuart Andrew"
"Alan Brown","Scottish National Party","Kilmarnock and Loudoun","No","Owen Thompson"
"Nicholas Brown","Labour","Newcastle upon Tyne East","No","Mark Tami"
"Lyn Brown","Labour","West Ham","No","Mark Tami"
"Anthony Browne","Conservative","South Cambridgeshire","Aye","Stuart Andrew"
"Fiona Bruce","Conservative","Congleton","Aye","Stuart Andrew"
"Chris Bryant","Labour","Rhondda","No","Mark Tami"
"Felicity Buchan","Conservative","Kensington","Aye","Stuart Andrew"
"Karen Buck","Labour","Westminster North","No","Mark Tami"
"Robert Buckland","Conservative","South Swindon","Aye","Stuart Andrew"
"Alex Burghart","Conservative","Brentwood and Ongar","Aye","Stuart Andrew"
"Richard Burgon","Labour","Leeds East","No","Zarah Sultana"
"Conor Burns","Conservative","Bournemouth West","Aye","Stuart Andrew"
"Dawn Butler","Labour","Brent Central","No","Zarah Sultana"
"Rob Butler","Conservative","Aylesbury","Aye","Stuart Andrew"
"Ian Byrne","Labour","Liverpool, West Derby","No","Zarah Sultana"
"Liam Byrne","Labour","Birmingham, Hodge Hill","No","Mark Tami"
"Ruth Cadbury","Labour","Brentford and Isleworth","No","Mark Tami"
"Alun Cairns","Conservative","Vale of Glamorgan","Aye","Stuart Andrew"
"Amy Callaghan","Scottish National Party","East Dunbartonshire","No","Owen Thompson"
"Lisa Cameron","Scottish National Party","East Kilbride, Strathaven and Lesmahagow","No","Owen Thompson"
"Gregory Campbell","Democratic Unionist Party","East Londonderry","Aye","Jim Shannon"
"Alan Campbell","Labour","Tynemouth","No","Mark Tami"
"Dan Carden","Labour","Liverpool, Walton","No","Mark Tami"
"Alistair Carmichael","Liberal Democrat","Orkney and Shetland","No","Wendy Chamberlain"
"Andy Carter","Conservative","Warrington South","Aye","Stuart Andrew"
"James Cartlidge","Conservative","South Suffolk","Aye","Stuart Andrew"
"William Cash","Conservative","Stone","Aye","Stuart Andrew"
"Miriam Cates","Conservative","Penistone and Stocksbridge","Aye","Stuart Andrew"
"Maria Caulfield","Conservative","Lewes","Aye",""
"Alex Chalk","Conservative","Cheltenham","Aye","Stuart Andrew"
"Wendy Chamberlain","Liberal Democrat","North East Fife","No",""
"Sarah Champion","Labour","Rotherham","No","Mark Tami"
"Douglas Chapman","Scottish National Party","Dunfermline and West Fife","No","Owen Thompson"
"Bambos Charalambous","Labour","Enfield, Southgate","No","Mark Tami"
"Joanna Cherry","Scottish National Party","Edinburgh South West","No","Owen Thompson"
"Rehman Chishti","Conservative","Gillingham and Rainham","Aye","Stuart Andrew"
"Christopher Chope","Conservative","Christchurch","No Vote Recorded",""
"Jo Churchill","Conservative","Bury St Edmunds","Aye","Stuart Andrew"
"Feryal Clark","Labour","Enfield North","No","Mark Tami"
"Greg Clark","Conservative","Tunbridge Wells","Aye",""
"Brendan Clarke-Smith","Conservative","Bassetlaw","Aye","Stuart Andrew"
"Simon Clarke","Conservative","Middlesbrough South and East Cleveland","Aye","Stuart Andrew"
"Theo Clarke","Conservative","Stafford","Aye","Stuart Andrew"
"Chris Clarkson","Conservative","Heywood and Middleton","Aye","Stuart Andrew"
"James Cleverly","Conservative","Braintree","Aye","Stuart Andrew"
"Geoffrey Clifton-Brown","Conservative","The Cotswolds","Aye",""
"Thérèse Coffey","Conservative","Suffolk Coastal","Aye","Stuart Andrew"
"Elliot Colburn","Conservative","Carshalton and Wallington","Aye","Stuart Andrew"
"Damian Collins","Conservative","Folkestone and Hythe","Aye","Stuart Andrew"
"Daisy Cooper","Liberal Democrat","St Albans","No","Wendy Chamberlain"
"Rosie Cooper","Labour","West Lancashire","No","Mark Tami"
"Yvette Cooper","Labour","Normanton, Pontefract and Castleford","No","Mark Tami"
"Jeremy Corbyn","Independent","Islington North","No","Zarah Sultana"
"Alberto Costa","Conservative","South Leicestershire","Aye","Stuart Andrew"
"Robert Courts","Conservative","Witney","Aye","Stuart Andrew"
"Claire Coutinho","Conservative","East Surrey","Aye","Stuart Andrew"
"Ronnie Cowan","Scottish National Party","Inverclyde","No","Owen Thompson"
"Geoffrey Cox","Conservative","Torridge and West Devon","Aye","Stuart Andrew"
"Neil Coyle","Labour","Bermondsey and Old Southwark","No","Mark Tami"
"Stephen Crabb","Conservative","Preseli Pembrokeshire","Aye","Stuart Andrew"
"Angela Crawley","Scottish National Party","Lanark and Hamilton East","No","Owen Thompson"
"Stella Creasy","Labour","Walthamstow","No","Mark Tami"
"Virginia Crosbie","Conservative","Ynys Môn","Aye","Stuart Andrew"
"Tracey Crouch","Conservative","Chatham and Aylesford","Aye","Stuart Andrew"
"Jon Cruddas","Labour","Dagenham and Rainham","No","Mark Tami"
"John Cryer","Labour","Leyton and Wanstead","No","Mark Tami"
"Judith Cummins","Labour","Bradford South","No","Mark Tami"
"Alex Cunningham","Labour","Stockton North","No","Mark Tami"
"Janet Daby","Labour","Lewisham East","No","Mark Tami"
"James Daly","Conservative","Bury North","Aye","Stuart Andrew"
"Ed Davey","Liberal Democrat","Kingston and Surbiton","No","Wendy Chamberlain"
"Wayne David","Labour","Caerphilly","No","Mark Tami"
"Alex Davies-Jones","Labour","Pontypridd","No","Mark Tami"
"David T C Davies","Conservative","Monmouth","Aye","Stuart Andrew"
"James Davies","Conservative","Vale of Clwyd","Aye","Stuart Andrew"
"Gareth Davies","Conservative","Grantham and Stamford","Aye","Stuart Andrew"
"Geraint Davies","Labour","Swansea West","No","Mark Tami"
"Mims Davies","Conservative","Mid Sussex","Aye","Stuart Andrew"
"Philip Davies","Conservative","Shipley","Aye","Stuart Andrew"
"David Davis","Conservative","Haltemprice and Howden","Aye","Stuart Andrew"
"Dehenna Davison","Conservative","Bishop Auckland","Aye","Ben Everitt"
"Martyn Day","Scottish National Party","Linlithgow and East Falkirk","No","Owen Thompson"
"Marsha De Cordova","Labour","Battersea","No","Zarah Sultana"
"Thangam Debbonaire","Labour","Bristol West","No","Mark Tami"
"Tanmanjeet Singh Dhesi","Labour","Slough","No","Mark Tami"
"Caroline Dinenage","Conservative","Gosport","Aye","Stuart Andrew"
"Sarah Dines","Conservative","Derbyshire Dales","Aye","Stuart Andrew"
"Jonathan Djanogly","Conservative","Huntingdon","Aye","Stuart Andrew"
"Martin Docherty-Hughes","Scottish National Party","West Dunbartonshire","No","Owen Thompson"
"Leo Docherty","Conservative","Aldershot","Aye","Stuart Andrew"
"Anneliese Dodds","Labour","Oxford East","No","Mark Tami"
"Jeffrey M Donaldson","Democratic Unionist Party","Lagan Valley","Aye","Jim Shannon"
