Division Number: 47
Division Date: 16 January 2024 - 17:52

Safety of Rwanda (Asylum and Immigration) Bill Committee: Amendment 10

Aye Count: 68
No Count: 529
Result: Question accordingly disagreed.

Members recorded
Member,Party,Constituency,Vote,Proxy Member
"Diane Abbott","Independent","Hackney North and Stoke Newington","No","Bell Ribeiro-Addy"
"Debbie Abrahams","Labour","Oldham East and Saddleworth","No",""
"Bim Afolami","Conservative","Hitchin and Harpenden","No",""
"Adam Afriyie","Conservative","Windsor","Aye",""
"Nickie Aiken","Conservative","Cities of London and Westminster","No",""
"Peter Aldous","Conservative","Waveney","No",""
"Rushanara Ali","Labour","Bethnal Green and Bow","No",""
"Tahir Ali","Labour","Birmingham, Hall Green","No",""
"Lucy Allan","Conservative","Telford","No","Marcus Jones"
"Rosena Allin-Khan","Labour","Tooting","No",""
"Mike Amesbury","Labour","Weaver Vale","No",""
"Fleur Anderson","Labour","Putney","No",""
"Lee Anderson","Conservative","Ashfield","Aye",""
"Stuart Anderson","Conservative","Wolverhampton South West","No","Marcus Jones"
"Stuart Andrew","Conservative","Pudsey","No",""
"Caroline Ansell","Conservative","Eastbourne","No",""
"Tonia Antoniazzi","Labour","Gower","No",""
"Edward Argar","Conservative","Charnwood","No",""
"Jonathan Ashworth","Labour","Leicester South","No",""
"Sarah Atherton","Conservative","Wrexham","Aye",""
"Victoria Atkins","Conservative","Louth and Horncastle","No",""
"Gareth Bacon","Conservative","Orpington","No",""
"Richard Bacon","Conservative","South Norfolk","No","Marcus Jones"
"Kemi Badenoch","Conservative","Saffron Walden","No",""
"Shaun Bailey","Conservative","West Bromwich West","No",""
"Siobhan Baillie","Conservative","Stroud","No",""
"Duncan Baker","Conservative","North Norfolk","No",""
"Steve Baker","Conservative","Wycombe","No",""
"Harriett Baldwin","Conservative","West Worcestershire","No",""
"Steve Barclay","Conservative","North East Cambridgeshire","No",""
"Hannah Bardell","Scottish National Party","Livingston","No",""
"Paula Barker","Labour","Liverpool, Wavertree","No",""
"John Baron","Conservative","Basildon and Billericay","No",""
"Simon Baynes","Conservative","Clwyd South","No",""
"Margaret Beckett","Labour","Derby South","No Vote Recorded",""
"Órfhlaith Begley","Sinn Féin","West Tyrone","No Vote Recorded",""
"Apsana Begum","Labour","Poplar and Limehouse","No",""
"Aaron Bell","Conservative","Newcastle-under-Lyme","No",""
"Hilary Benn","Labour","Leeds Central","No",""
"Scott Benton","Independent","Blackpool South","Aye",""
"Paul Beresford","Conservative","Mole Valley","No",""
"Jake Berry","Conservative","Rossendale and Darwen","Aye",""
"Clive Betts","Labour","Sheffield South East","No",""
"Saqib Bhatti","Conservative","Meriden","No",""
"Mhairi Black","Scottish National Party","Paisley and Renfrewshire South","No",""
"Ian Blackford","Scottish National Party","Ross, Skye and Lochaber","No",""
"Bob Blackman","Conservative","Harrow East","Aye",""
"Kirsty Blackman","Scottish National Party","Aberdeen North","No",""
"Olivia Blake","Labour","Sheffield, Hallam","No",""
"Paul Blomfield","Labour","Sheffield Central","No",""
"Crispin Blunt","Independent","Reigate","No Vote Recorded",""
"Steven Bonnar","Scottish National Party","Coatbridge, Chryston and Bellshill","No",""
"Peter Bottomley","Conservative","Worthing West","No",""
"Andrew Bowie","Conservative","West Aberdeenshire and Kincardine","No",""
"Ben Bradley","Conservative","Mansfield","Aye",""
