Division Number: 3
Division Date: 23 July 2024 - 19:15

King's Speech (Motion for an Address): Amendment (d)

Aye Count: 103
No Count: 363
Result: Question accordingly disagreed.

Members recorded
Member,Party,Constituency,Vote,Proxy Member
"Jack Abbott","Labour","Ipswich","No",""
"Diane Abbott","Labour","Hackney North and Stoke Newington","No Vote Recorded",""
"Debbie Abrahams","Labour","Oldham East and Saddleworth","No",""
"Shockat Adam","Independent","Leicester South","Aye",""
"Zubir Ahmed","Labour","Glasgow South West","No",""
"Luke Akehurst","Labour","North Durham","No",""
"Sadik Al-Hassan","Labour","North Somerset","No",""
"Bayo Alaba","Labour","Southend East and Rochford","No",""
"Dan Aldridge","Labour","Weston-super-Mare","No",""
"Heidi Alexander","Labour","Swindon South","No",""
"Douglas Alexander","Labour","Lothian East","No",""
"Rushanara Ali","Labour","Bethnal Green and Stepney","No",""
"Tahir Ali","Labour","Birmingham Hall Green and Moseley","No",""
"Rosena Allin-Khan","Labour","Tooting","No Vote Recorded",""
"Jim Allister","Traditional Unionist Voice","North Antrim","Aye",""
"Mike Amesbury","Labour","Runcorn and Helsby","No",""
"Gideon Amos","Liberal Democrat","Taunton and Wellington","Aye",""
"Callum Anderson","Labour","Buckingham and Bletchley","No",""
"Fleur Anderson","Labour","Putney","No",""
"Lee Anderson","Reform UK","Ashfield","No Vote Recorded",""
"Stuart Anderson","Conservative","South Shropshire","No Vote Recorded",""
"Stuart Andrew","Conservative","Daventry","No Vote Recorded",""
"Tonia Antoniazzi","Labour","Gower","No",""
"Steff Aquarone","Liberal Democrat","North Norfolk","Aye",""
"Edward Argar","Conservative","Melton and Syston","No Vote Recorded",""
"Scott Arthur","Labour","Edinburgh South West","No",""
"Jess Asato","Labour","Lowestoft","No",""
"James Asser","Labour","West Ham and Beckton","No",""
"Jas Athwal","Labour","Ilford South","No",""
"Victoria Atkins","Conservative","Louth and Horncastle","No Vote Recorded",""
"Catherine Atkinson","Labour","Derby North","No",""
"Lewis Atkinson","Labour","Sunderland Central","No",""
"Josh Babarinde","Liberal Democrat","Eastbourne","Aye",""
"Gareth Bacon","Conservative","Orpington","No Vote Recorded",""
"Kemi Badenoch","Conservative","North West Essex","No Vote Recorded",""
"Calvin Bailey","Labour","Leyton and Wanstead","No",""
"Olivia Bailey","Labour","Reading West and Mid Berkshire","No",""
"David Baines","Labour","St Helens North","No",""
"Alex Baker","Labour","Aldershot","No",""
"Richard Baker","Labour","Glenrothes and Mid Fife","No",""
"Harriett Baldwin","Conservative","West Worcestershire","No Vote Recorded",""
"Alex Ballinger","Labour","Halesowen","No",""
"Antonia Bance","Labour","Tipton and Wednesbury","No Vote Recorded",""
"Steve Barclay","Conservative","North East Cambridgeshire","No Vote Recorded",""
"Paula Barker","Labour","Liverpool Wavertree","No",""
"Lee Barron","Labour","Corby and East Northamptonshire","No",""
"Alex Barros-Curtis","Labour","Cardiff West","No",""
"Johanna Baxter","Labour","Paisley and Renfrewshire South","No",""
"Danny Beales","Labour","Uxbridge and South Ruislip","No",""
"Lorraine Beavers","Labour","Blackpool North and Fleetwood","No",""
"Peter Bedford","Conservative","Mid Leicestershire","No Vote Recorded",""
"Órfhlaith Begley","Sinn Féin","West Tyrone","No Vote Recorded",""
"Apsana Begum","Independent","Poplar and Limehouse","Aye",""
"Torsten Bell","Labour","Swansea West","No",""
"Hilary Benn","Labour","Leeds South","No",""
"Alison Bennett","Liberal Democrat","Mid Sussex","Aye",""
"Siân Berry","Green Party","Brighton Pavilion","Aye",""
"Clive Betts","Labour","Sheffield South East","No",""
"Saqib Bhatti","Conservative","Meriden and Solihull East","No Vote Recorded",""
"Polly Billington","Labour","East Thanet","No",""
"Matt Bishop","Labour","Forest of Dean","No",""
"Bob Blackman","Conservative","Harrow East","No Vote Recorded",""
"Kirsty Blackman","Scottish National Party","Aberdeen North","Teller - Ayes",""
"Olivia Blake","Labour","Sheffield Hallam","No",""
"Rachel Blake","Labour","Cities of London and Westminster","No",""
"Chris Bloore","Labour","Redditch","No",""
"Elsie Blundell","Labour","Heywood and Middleton North","No",""
"Kevin Bonavia","Labour","Stevenage","No",""
"Sarah Bool","Conservative","South Northamptonshire","No Vote Recorded",""
"Jade Botterill","Labour","Ossett and Denby Dale","No",""
"Andrew Bowie","Conservative","West Aberdeenshire and Kincardine","No Vote Recorded",""
"Sureena Brackenridge","Labour","Wolverhampton North East","No",""
"Karen Bradley","Conservative","Staffordshire Moorlands","No Vote Recorded",""
"Aphra Brandreth","Conservative","Chester South and Eddisbury","No Vote Recorded",""
"Jonathan Brash","Labour","Hartlepool","No",""
"Suella Braverman","Conservative","Fareham and Waterlooville","No Vote Recorded",""
"Alex Brewer","Liberal Democrat","North East Hampshire","Aye",""
"Phil Brickell","Labour","Bolton West","No",""
"Jess Brown-Fuller","Liberal Democrat","Chichester","Aye",""
"Chris Bryant","Labour","Rhondda and Ogmore","No",""
"Julia Buckley","Labour","Shrewsbury","No",""
"Alex Burghart","Conservative","Brentwood and Ongar","No Vote Recorded",""
