Division Number: 12
Division Date: 5 September 2024 - 16:59

Great British Energy Bill: Reasoned Amendment to Second Reading

Aye Count: 94
No Count: 348
Result: Question accordingly disagreed.

Members recorded
Member,Party,Constituency,Vote,Proxy Member
"Jack Abbott","Labour","Ipswich","No",""
"Diane Abbott","Labour","Hackney North and Stoke Newington","No Vote Recorded",""
"Debbie Abrahams","Labour","Oldham East and Saddleworth","No",""
"Shockat Adam","Independent","Leicester South","No Vote Recorded",""
"Zubir Ahmed","Labour","Glasgow South West","No",""
"Luke Akehurst","Labour","North Durham","No",""
"Sadik Al-Hassan","Labour","North Somerset","No",""
"Bayo Alaba","Labour","Southend East and Rochford","No",""
"Dan Aldridge","Labour","Weston-super-Mare","No",""
"Heidi Alexander","Labour","Swindon South","No",""
"Douglas Alexander","Labour","Lothian East","No",""
"Rushanara Ali","Labour","Bethnal Green and Stepney","No Vote Recorded",""
"Tahir Ali","Labour","Birmingham Hall Green and Moseley","No Vote Recorded",""
"Rosena Allin-Khan","Labour","Tooting","No Vote Recorded",""
"Jim Allister","Traditional Unionist Voice","North Antrim","No Vote Recorded",""
"Mike Amesbury","Labour","Runcorn and Helsby","No",""
"Gideon Amos","Liberal Democrat","Taunton and Wellington","No Vote Recorded",""
"Callum Anderson","Labour","Buckingham and Bletchley","No",""
"Fleur Anderson","Labour","Putney","No",""
"Lee Anderson","Reform UK","Ashfield","No Vote Recorded",""
"Stuart Anderson","Conservative","South Shropshire","Aye",""
"Stuart Andrew","Conservative","Daventry","Aye",""
"Tonia Antoniazzi","Labour","Gower","No",""
"Steff Aquarone","Liberal Democrat","North Norfolk","No Vote Recorded",""
"Edward Argar","Conservative","Melton and Syston","Aye",""
"Scott Arthur","Labour","Edinburgh South West","No",""
"Jess Asato","Labour","Lowestoft","No",""
"James Asser","Labour","West Ham and Beckton","No",""
"Jas Athwal","Labour","Ilford South","No",""
"Victoria Atkins","Conservative","Louth and Horncastle","Aye",""
"Catherine Atkinson","Labour","Derby North","No",""
"Lewis Atkinson","Labour","Sunderland Central","No",""
"Josh Babarinde","Liberal Democrat","Eastbourne","No Vote Recorded",""
"Gareth Bacon","Conservative","Orpington","No Vote Recorded",""
"Kemi Badenoch","Conservative","North West Essex","No Vote Recorded",""
"Calvin Bailey","Labour","Leyton and Wanstead","No",""
"Olivia Bailey","Labour","Reading West and Mid Berkshire","No",""
"David Baines","Labour","St Helens North","No",""
"Alex Baker","Labour","Aldershot","No",""
"Richard Baker","Labour","Glenrothes and Mid Fife","No",""
"Harriett Baldwin","Conservative","West Worcestershire","Aye",""
"Alex Ballinger","Labour","Halesowen","No",""
"Antonia Bance","Labour","Tipton and Wednesbury","No",""
"Steve Barclay","Conservative","North East Cambridgeshire","No Vote Recorded",""
"Paula Barker","Labour","Liverpool Wavertree","No",""
"Lee Barron","Labour","Corby and East Northamptonshire","No",""
"Alex Barros-Curtis","Labour","Cardiff West","No",""
"Johanna Baxter","Labour","Paisley and Renfrewshire South","No",""
"Danny Beales","Labour","Uxbridge and South Ruislip","No",""
"Lorraine Beavers","Labour","Blackpool North and Fleetwood","No Vote Recorded",""
"Peter Bedford","Conservative","Mid Leicestershire","Aye",""
"Órfhlaith Begley","Sinn Féin","West Tyrone","No Vote Recorded",""
"Apsana Begum","Independent","Poplar and Limehouse","No",""
"Torsten Bell","Labour","Swansea West","No",""
"Hilary Benn","Labour","Leeds South","No Vote Recorded",""
"Alison Bennett","Liberal Democrat","Mid Sussex","No Vote Recorded",""
"Siân Berry","Green Party","Brighton Pavilion","No",""
"Clive Betts","Labour","Sheffield South East","No",""
"Saqib Bhatti","Conservative","Meriden and Solihull East","Aye",""
"Polly Billington","Labour","East Thanet","No",""
"Matt Bishop","Labour","Forest of Dean","No",""
"Bob Blackman","Conservative","Harrow East","Aye",""
"Kirsty Blackman","Scottish National Party","Aberdeen North","No Vote Recorded",""
"Olivia Blake","Labour","Sheffield Hallam","No",""
"Rachel Blake","Labour","Cities of London and Westminster","No",""
"Chris Bloore","Labour","Redditch","No",""
"Elsie Blundell","Labour","Heywood and Middleton North","No",""
"Kevin Bonavia","Labour","Stevenage","No",""
"Sarah Bool","Conservative","South Northamptonshire","Aye",""
"Jade Botterill","Labour","Ossett and Denby Dale","No",""
"Andrew Bowie","Conservative","West Aberdeenshire and Kincardine","Aye",""
"Sureena Brackenridge","Labour","Wolverhampton North East","No",""
"Karen Bradley","Conservative","Staffordshire Moorlands","Aye",""
"Aphra Brandreth","Conservative","Chester South and Eddisbury","Aye",""
"Jonathan Brash","Labour","Hartlepool","No",""
"Suella Braverman","Conservative","Fareham and Waterlooville","No Vote Recorded",""
"Alex Brewer","Liberal Democrat","North East Hampshire","No Vote Recorded",""
"Phil Brickell","Labour","Bolton West","No",""
"Jess Brown-Fuller","Liberal Democrat","Chichester","No Vote Recorded",""
"Chris Bryant","Labour","Rhondda and Ogmore","No",""
"Julia Buckley","Labour","Shrewsbury","No",""
"Alex Burghart","Conservative","Brentwood and Ongar","Aye",""
"Richard Burgon","Independent","Leeds East","No",""
