Division Number: 25
Division Date: 29 October 2024 - 18:14

Great British Energy Bill Report Stage: Amendment 6

Aye Count: 124
No Count: 361
Result: Question accordingly disagreed.

Members recorded
Member,Party,Constituency,Vote,Proxy Member
"Jack Abbott","Labour","Ipswich","No",""
"Diane Abbott","Labour","Hackney North and Stoke Newington","No Vote Recorded",""
"Debbie Abrahams","Labour","Oldham East and Saddleworth","No",""
"Shockat Adam","Independent","Leicester South","No",""
"Zubir Ahmed","Labour","Glasgow South West","No",""
"Luke Akehurst","Labour","North Durham","No",""
"Sadik Al-Hassan","Labour","North Somerset","No Vote Recorded",""
"Bayo Alaba","Labour","Southend East and Rochford","No Vote Recorded",""
"Dan Aldridge","Labour","Weston-super-Mare","No",""
"Heidi Alexander","Labour","Swindon South","No",""
"Douglas Alexander","Labour","Lothian East","No Vote Recorded",""
"Rushanara Ali","Labour","Bethnal Green and Stepney","No",""
"Tahir Ali","Labour","Birmingham Hall Green and Moseley","No",""
"Rosena Allin-Khan","Labour","Tooting","No Vote Recorded",""
"Jim Allister","Traditional Unionist Voice","North Antrim","No Vote Recorded",""
"Mike Amesbury","Independent","Runcorn and Helsby","No Vote Recorded",""
"Gideon Amos","Liberal Democrat","Taunton and Wellington","No Vote Recorded",""
"Callum Anderson","Labour","Buckingham and Bletchley","No",""
"Fleur Anderson","Labour","Putney","No Vote Recorded",""
"Lee Anderson","Reform UK","Ashfield","Aye",""
"Stuart Anderson","Conservative","South Shropshire","Aye",""
"Stuart Andrew","Conservative","Daventry","Aye",""
"Tonia Antoniazzi","Labour","Gower","No",""
"Steff Aquarone","Liberal Democrat","North Norfolk","No Vote Recorded",""
"Edward Argar","Conservative","Melton and Syston","Aye",""
"Scott Arthur","Labour","Edinburgh South West","No",""
"Jess Asato","Labour","Lowestoft","No Vote Recorded",""
"James Asser","Labour","West Ham and Beckton","No",""
"Jas Athwal","Labour","Ilford South","No",""
"Victoria Atkins","Conservative","Louth and Horncastle","Aye",""
"Catherine Atkinson","Labour","Derby North","No",""
"Lewis Atkinson","Labour","Sunderland Central","No",""
"Josh Babarinde","Liberal Democrat","Eastbourne","No Vote Recorded",""
"Gareth Bacon","Conservative","Orpington","Aye",""
"Kemi Badenoch","Conservative","North West Essex","No Vote Recorded",""
"Calvin Bailey","Labour","Leyton and Wanstead","No",""
"Olivia Bailey","Labour","Reading West and Mid Berkshire","No Vote Recorded",""
"David Baines","Labour","St Helens North","No",""
"Alex Baker","Labour","Aldershot","No",""
"Richard Baker","Labour","Glenrothes and Mid Fife","No",""
"Harriett Baldwin","Conservative","West Worcestershire","No Vote Recorded",""
"Alex Ballinger","Labour","Halesowen","No",""
"Antonia Bance","Labour","Tipton and Wednesbury","No",""
"Steve Barclay","Conservative","North East Cambridgeshire","Aye",""
"Paula Barker","Labour","Liverpool Wavertree","No",""
"Lee Barron","Labour","Corby and East Northamptonshire","No",""
"Alex Barros-Curtis","Labour","Cardiff West","No",""
"Johanna Baxter","Labour","Paisley and Renfrewshire South","No",""
"Danny Beales","Labour","Uxbridge and South Ruislip","No",""
"Lorraine Beavers","Labour","Blackpool North and Fleetwood","No",""
"Peter Bedford","Conservative","Mid Leicestershire","Aye",""
"Órfhlaith Begley","Sinn Féin","West Tyrone","No Vote Recorded",""
"Apsana Begum","Independent","Poplar and Limehouse","No Vote Recorded",""
"Torsten Bell","Labour","Swansea West","No",""
"Hilary Benn","Labour","Leeds South","No",""
"Alison Bennett","Liberal Democrat","Mid Sussex","No Vote Recorded",""
"Siân Berry","Green Party","Brighton Pavilion","No",""
"Clive Betts","Labour","Sheffield South East","No",""
"Saqib Bhatti","Conservative","Meriden and Solihull East","Aye",""
"Polly Billington","Labour","East Thanet","No",""
"Matt Bishop","Labour","Forest of Dean","No",""
"Bob Blackman","Conservative","Harrow East","Aye",""
"Kirsty Blackman","Scottish National Party","Aberdeen North","Aye",""
"Olivia Blake","Labour","Sheffield Hallam","No Vote Recorded",""
"Rachel Blake","Labour","Cities of London and Westminster","No",""
"Chris Bloore","Labour","Redditch","No",""
"Elsie Blundell","Labour","Heywood and Middleton North","No","Chris Elmore"
"Kevin Bonavia","Labour","Stevenage","No",""
"Sarah Bool","Conservative","South Northamptonshire","Aye",""
"Jade Botterill","Labour","Ossett and Denby Dale","No",""
"Andrew Bowie","Conservative","West Aberdeenshire and Kincardine","Aye",""
"Sureena Brackenridge","Labour","Wolverhampton North East","No",""
"Karen Bradley","Conservative","Staffordshire Moorlands","Aye",""
"Aphra Brandreth","Conservative","Chester South and Eddisbury","Aye",""
"Jonathan Brash","Labour","Hartlepool","No",""
"Suella Braverman","Conservative","Fareham and Waterlooville","Aye",""
"Alex Brewer","Liberal Democrat","North East Hampshire","No Vote Recorded",""
"Phil Brickell","Labour","Bolton West","No",""
"Jess Brown-Fuller","Liberal Democrat","Chichester","No Vote Recorded",""
"Chris Bryant","Labour","Rhondda and Ogmore","No Vote Recorded",""
"Julia Buckley","Labour","Shrewsbury","No",""
"Alex Burghart","Conservative","Brentwood and Ongar","Aye",""
