Division Number: 51
Division Date: 29 November 2024 - 14:08

Terminally Ill Adults (End of Life) Bill: Second Reading

Aye Count: 330
No Count: 275
Result: Question accordingly agreed.

Members recorded
Member,Party,Constituency,Vote,Proxy Member
"Jack Abbott","Labour","Ipswich","No",""
"Diane Abbott","Labour","Hackney North and Stoke Newington","No","Bell Ribeiro-Addy"
"Debbie Abrahams","Labour","Oldham East and Saddleworth","No Vote Recorded",""
"Shockat Adam","Independent","Leicester South","No",""
"Zubir Ahmed","Labour","Glasgow South West","No",""
"Luke Akehurst","Labour","North Durham","Aye",""
"Sadik Al-Hassan","Labour","North Somerset","Aye",""
"Bayo Alaba","Labour","Southend East and Rochford","No",""
"Dan Aldridge","Labour","Weston-super-Mare","Aye",""
"Heidi Alexander","Labour","Swindon South","Aye",""
"Douglas Alexander","Labour","Lothian East","No Vote Recorded",""
"Rushanara Ali","Labour","Bethnal Green and Stepney","No",""
"Tahir Ali","Labour","Birmingham Hall Green and Moseley","No",""
"Rosena Allin-Khan","Labour","Tooting","No",""
"Jim Allister","Traditional Unionist Voice","North Antrim","No",""
"Mike Amesbury","Independent","Runcorn and Helsby","No","Chris Elmore"
"Gideon Amos","Liberal Democrat","Taunton and Wellington","No",""
"Callum Anderson","Labour","Buckingham and Bletchley","Aye",""
"Fleur Anderson","Labour","Putney","No",""
"Lee Anderson","Reform UK","Ashfield","Aye",""
"Stuart Anderson","Conservative","South Shropshire","No",""
"Stuart Andrew","Conservative","Daventry","No",""
"Tonia Antoniazzi","Labour","Gower","Aye",""
"Steff Aquarone","Liberal Democrat","North Norfolk","Aye",""
"Edward Argar","Conservative","Melton and Syston","No",""
"Scott Arthur","Labour","Edinburgh South West","No",""
"Jess Asato","Labour","Lowestoft","No",""
"James Asser","Labour","West Ham and Beckton","No",""
"Jas Athwal","Labour","Ilford South","Aye",""
"Victoria Atkins","Conservative","Louth and Horncastle","Aye",""
"Catherine Atkinson","Labour","Derby North","No",""
"Lewis Atkinson","Labour","Sunderland Central","Aye",""
"Josh Babarinde","Liberal Democrat","Eastbourne","Aye",""
"Gareth Bacon","Conservative","Orpington","No",""
"Kemi Badenoch","Conservative","North West Essex","No",""
"Calvin Bailey","Labour","Leyton and Wanstead","Aye",""
"Olivia Bailey","Labour","Reading West and Mid Berkshire","No",""
"David Baines","Labour","St Helens North","No",""
"Alex Baker","Labour","Aldershot","No",""
"Richard Baker","Labour","Glenrothes and Mid Fife","No",""
"Harriett Baldwin","Conservative","West Worcestershire","Teller - Noes",""
"Alex Ballinger","Labour","Halesowen","Aye",""
"Antonia Bance","Labour","Tipton and Wednesbury","No",""
"Steve Barclay","Conservative","North East Cambridgeshire","No",""
"Paula Barker","Labour","Liverpool Wavertree","Aye",""
"Lee Barron","Labour","Corby and East Northamptonshire","Aye",""
"Alex Barros-Curtis","Labour","Cardiff West","Aye",""
"Johanna Baxter","Labour","Paisley and Renfrewshire South","No",""
"Danny Beales","Labour","Uxbridge and South Ruislip","Aye",""
"Lorraine Beavers","Labour","Blackpool North and Fleetwood","Aye",""
"Peter Bedford","Conservative","Mid Leicestershire","Aye",""
"Órfhlaith Begley","Sinn Féin","West Tyrone","No Vote Recorded",""
"Apsana Begum","Independent","Poplar and Limehouse","No",""
"Torsten Bell","Labour","Swansea West","Aye",""
"Hilary Benn","Labour","Leeds South","Aye",""
"Alison Bennett","Liberal Democrat","Mid Sussex","Aye",""
"Siân Berry","Green Party","Brighton Pavilion","Aye",""
"Clive Betts","Labour","Sheffield South East","Aye",""
"Saqib Bhatti","Conservative","Meriden and Solihull East","No",""
"Polly Billington","Labour","East Thanet","No",""
"Matt Bishop","Labour","Forest of Dean","Aye",""
"Bob Blackman","Conservative","Harrow East","No",""
"Kirsty Blackman","Scottish National Party","Aberdeen North","No Vote Recorded",""
"Olivia Blake","Labour","Sheffield Hallam","Aye",""
"Rachel Blake","Labour","Cities of London and Westminster","Aye",""
"Chris Bloore","Labour","Redditch","Aye",""
"Elsie Blundell","Labour","Heywood and Middleton North","No","Chris Elmore"
"Kevin Bonavia","Labour","Stevenage","Aye",""
"Sarah Bool","Conservative","South Northamptonshire","No",""
"Jade Botterill","Labour","Ossett and Denby Dale","Aye",""
"Andrew Bowie","Conservative","West Aberdeenshire and Kincardine","No",""
"Sureena Brackenridge","Labour","Wolverhampton North East","No",""
"Karen Bradley","Conservative","Staffordshire Moorlands","No",""
"Aphra Brandreth","Conservative","Chester South and Eddisbury","Aye",""
"Jonathan Brash","Labour","Hartlepool","Aye",""
"Suella Braverman","Conservative","Fareham and Waterlooville","No",""
"Alex Brewer","Liberal Democrat","North East Hampshire","Aye",""
"Phil Brickell","Labour","Bolton West","Aye",""
"Jess Brown-Fuller","Liberal Democrat","Chichester","Aye",""
"Chris Bryant","Labour","Rhondda and Ogmore","No Vote Recorded",""
"Julia Buckley","Labour","Shrewsbury","Aye",""
"Alex Burghart","Conservative","Brentwood and Ongar","No",""
"Richard Burgon","Independent","Leeds East","No",""
"Maureen Burke","Labour","Glasgow North East","Aye",""
"David Burton-Sampson","Labour","Southend West and Leigh","Aye",""
"Dawn Butler","Labour","Brent East","No",""
"Ian Byrne","Independent","Liverpool West Derby","No",""
"Liam Byrne","Labour","Birmingham Hodge Hill and Solihull North","No",""
"Ruth Cadbury","Labour","Brentford and Isleworth","Aye",""
"Nesil Caliskan","Labour","Barking","No",""
"Markus Campbell-Savours","Labour","Penrith and Solway","Aye",""
"Irene Campbell","Labour","North Ayrshire and Arran","Aye",""
"Juliet Campbell","Labour","Broxtowe","No",""
"Gregory Campbell","Democratic Unionist Party","East Londonderry","No",""
"Alan Campbell","Labour","Tynemouth","Aye",""
"Charlotte Cane","Liberal Democrat","Ely and East Cambridgeshire","Aye",""
"Dan Carden","Labour","Liverpool Walton","No Vote Recorded",""
"Sam Carling","Labour","North West Cambridgeshire","Aye",""
"Alistair Carmichael","Liberal Democrat","Orkney and Shetland","Aye",""
"Al Carns","Labour","Birmingham Selly Oak","No Vote Recorded",""
"James Cartlidge","Conservative","South Suffolk","Aye",""
"David Chadwick","Liberal Democrat","Brecon, Radnor and Cwm Tawe","Aye",""
"Wendy Chamberlain","Liberal Democrat","North East Fife","Aye",""
"Danny Chambers","Liberal Democrat","Winchester","Aye",""
"Sarah Champion","Labour","Rotherham","Aye",""
"Bambos Charalambous","Labour","Southgate and Wood Green","Teller - Ayes",""
"Luke Charters","Labour","York Outer","Aye",""
"Christopher Chope","Conservative","Christchurch","No",""
"Ellie Chowns","Green Party","North Herefordshire","Aye",""
"Feryal Clark","Labour","Enfield North","No",""
"James Cleverly","Conservative","Braintree","No",""
