Division Number: 92
Division Date: 28 January 2025 - 16:25

Women’s State Pension age (Ombudsman report and compensation scheme): Ten Minute Rule Motion

Aye Count: 105
No Count: 0
Result: Question accordingly agreed.

Members recorded
Member,Party,Constituency,Vote,Proxy Member
"Jack Abbott","Labour","Ipswich","No Vote Recorded",""
"Diane Abbott","Labour","Hackney North and Stoke Newington","No Vote Recorded",""
"Debbie Abrahams","Labour","Oldham East and Saddleworth","No Vote Recorded",""
"Shockat Adam","Independent","Leicester South","Aye",""
"Zubir Ahmed","Labour","Glasgow South West","No Vote Recorded",""
"Luke Akehurst","Labour","North Durham","No Vote Recorded",""
"Sadik Al-Hassan","Labour","North Somerset","No Vote Recorded",""
"Bayo Alaba","Labour","Southend East and Rochford","No Vote Recorded",""
"Dan Aldridge","Labour","Weston-super-Mare","No Vote Recorded",""
"Heidi Alexander","Labour","Swindon South","No Vote Recorded",""
"Douglas Alexander","Labour","Lothian East","No Vote Recorded",""
"Rushanara Ali","Labour","Bethnal Green and Stepney","No Vote Recorded",""
"Tahir Ali","Labour","Birmingham Hall Green and Moseley","No Vote Recorded",""
"Rosena Allin-Khan","Labour","Tooting","No Vote Recorded",""
"Jim Allister","Traditional Unionist Voice","North Antrim","Aye",""
"Mike Amesbury","Independent","Runcorn and Helsby","No Vote Recorded",""
"Gideon Amos","Liberal Democrat","Taunton and Wellington","Aye",""
"Callum Anderson","Labour","Buckingham and Bletchley","No Vote Recorded",""
"Fleur Anderson","Labour","Putney","No Vote Recorded",""
"Lee Anderson","Reform UK","Ashfield","Aye",""
"Stuart Anderson","Conservative","South Shropshire","No Vote Recorded",""
"Stuart Andrew","Conservative","Daventry","No Vote Recorded",""
"Tonia Antoniazzi","Labour","Gower","No Vote Recorded",""
"Steff Aquarone","Liberal Democrat","North Norfolk","Aye",""
"Edward Argar","Conservative","Melton and Syston","No Vote Recorded",""
"Scott Arthur","Labour","Edinburgh South West","No Vote Recorded",""
"Jess Asato","Labour","Lowestoft","No Vote Recorded",""
"James Asser","Labour","West Ham and Beckton","No Vote Recorded",""
"Jas Athwal","Labour","Ilford South","No Vote Recorded",""
"Victoria Atkins","Conservative","Louth and Horncastle","No Vote Recorded",""
"Catherine Atkinson","Labour","Derby North","No Vote Recorded",""
"Lewis Atkinson","Labour","Sunderland Central","No Vote Recorded",""
"Josh Babarinde","Liberal Democrat","Eastbourne","Aye",""
"Gareth Bacon","Conservative","Orpington","No Vote Recorded",""
"Kemi Badenoch","Conservative","North West Essex","No Vote Recorded",""
"Calvin Bailey","Labour","Leyton and Wanstead","No Vote Recorded",""
"Olivia Bailey","Labour","Reading West and Mid Berkshire","No Vote Recorded",""
"David Baines","Labour","St Helens North","No Vote Recorded",""
"Alex Baker","Labour","Aldershot","No Vote Recorded",""
"Richard Baker","Labour","Glenrothes and Mid Fife","No Vote Recorded",""
"Harriett Baldwin","Conservative","West Worcestershire","No Vote Recorded",""
"Alex Ballinger","Labour","Halesowen","No Vote Recorded",""
"Antonia Bance","Labour","Tipton and Wednesbury","No Vote Recorded",""
"Steve Barclay","Conservative","North East Cambridgeshire","No Vote Recorded",""
"Paula Barker","Labour","Liverpool Wavertree","No Vote Recorded",""
"Lee Barron","Labour","Corby and East Northamptonshire","No Vote Recorded",""
"Alex Barros-Curtis","Labour","Cardiff West","No Vote Recorded",""
"Johanna Baxter","Labour","Paisley and Renfrewshire South","No Vote Recorded",""
"Danny Beales","Labour","Uxbridge and South Ruislip","No Vote Recorded",""
"Lorraine Beavers","Labour","Blackpool North and Fleetwood","No Vote Recorded",""
"Peter Bedford","Conservative","Mid Leicestershire","No Vote Recorded",""
"Órfhlaith Begley","Sinn Féin","West Tyrone","No Vote Recorded",""
