Division Number: 133
Division Date: 13 October 2020 - 21:17

Fisheries Bill [Lords]: Report Stage: New Clause 3

Aye Count: 65
No Count: 335
Result: Question accordingly disagreed.

Members recorded
Member,Party,Constituency,Vote,Proxy Member
"Diane Abbott","Labour","Hackney North and Stoke Newington","No Vote Recorded",""
"Debbie Abrahams","Labour","Oldham East and Saddleworth","No Vote Recorded",""
"Nigel Adams","Conservative","Selby and Ainsty","No",""
"Bim Afolami","Conservative","Hitchin and Harpenden","No",""
"Adam Afriyie","Conservative","Windsor","No",""
"Imran Ahmad Khan","Conservative","Wakefield","No",""
"Nickie Aiken","Conservative","Cities of London and Westminster","No",""
"Peter Aldous","Conservative","Waveney","No",""
"Rushanara Ali","Labour","Bethnal Green and Bow","No Vote Recorded",""
"Tahir Ali","Labour","Birmingham, Hall Green","No Vote Recorded",""
"Lucy Allan","Conservative","Telford","No","Mark Spencer"
"Rosena Allin-Khan","Labour","Tooting","No Vote Recorded",""
"Mike Amesbury","Labour","Weaver Vale","No Vote Recorded",""
"David Amess","Conservative","Southend West","No",""
"Fleur Anderson","Labour","Putney","No Vote Recorded",""
"Lee Anderson","Conservative","Ashfield","No",""
"Stuart Anderson","Conservative","Wolverhampton South West","No",""
"Stuart Andrew","Conservative","Pudsey","No",""
"Caroline Ansell","Conservative","Eastbourne","No",""
"Tonia Antoniazzi","Labour","Gower","No Vote Recorded",""
"Edward Argar","Conservative","Charnwood","No",""
"Jonathan Ashworth","Labour","Leicester South","No Vote Recorded",""
"Sarah Atherton","Conservative","Wrexham","No",""
"Victoria Atkins","Conservative","Louth and Horncastle","No",""
"Gareth Bacon","Conservative","Orpington","No",""
"Richard Bacon","Conservative","South Norfolk","No","Stuart Andrew"
"Kemi Badenoch","Conservative","Saffron Walden","No",""
"Shaun Bailey","Conservative","West Bromwich West","No",""
"Siobhan Baillie","Conservative","Stroud","No","Stuart Andrew"
"Duncan Baker","Conservative","North Norfolk","No",""
"Steve Baker","Conservative","Wycombe","No",""
"Harriett Baldwin","Conservative","West Worcestershire","No",""
"Steve Barclay","Conservative","North East Cambridgeshire","No",""
"Hannah Bardell","Scottish National Party","Livingston","Aye","Patrick Grady"
"Paula Barker","Labour","Liverpool, Wavertree","No Vote Recorded",""
"John Baron","Conservative","Basildon and Billericay","No","Stuart Andrew"
"Simon Baynes","Conservative","Clwyd South","No",""
"Margaret Beckett","Labour","Derby South","No Vote Recorded",""
"Órfhlaith Begley","Sinn Féin","West Tyrone","No Vote Recorded",""
"Apsana Begum","Labour","Poplar and Limehouse","No Vote Recorded",""
