Division Number: 158
Division Date: 3 November 2020 - 18:31

Overseas Operations (Service Personnel and Veterans) Bill: Report stage: Amendment 1

Aye Count: 269
No Count: 334
Result: Question accordingly disagreed.

Members recorded
Member,Party,Constituency,Vote,Proxy Member
"Diane Abbott","Labour","Hackney North and Stoke Newington","Aye","Bell Ribeiro-Addy"
"Debbie Abrahams","Labour","Oldham East and Saddleworth","Aye","Chris Elmore"
"Nigel Adams","Conservative","Selby and Ainsty","No",""
"Bim Afolami","Conservative","Hitchin and Harpenden","No",""
"Adam Afriyie","Conservative","Windsor","No",""
"Imran Ahmad Khan","Conservative","Wakefield","No",""
"Nickie Aiken","Conservative","Cities of London and Westminster","No Vote Recorded",""
"Peter Aldous","Conservative","Waveney","No",""
"Rushanara Ali","Labour","Bethnal Green and Bow","Aye",""
"Tahir Ali","Labour","Birmingham, Hall Green","Aye","Chris Elmore"
"Lucy Allan","Conservative","Telford","No",""
"Rosena Allin-Khan","Labour","Tooting","Aye","Chris Elmore"
"Mike Amesbury","Labour","Weaver Vale","Aye",""
"David Amess","Conservative","Southend West","No",""
"Fleur Anderson","Labour","Putney","Aye",""
"Lee Anderson","Conservative","Ashfield","No",""
"Stuart Anderson","Conservative","Wolverhampton South West","No",""
"Stuart Andrew","Conservative","Pudsey","No",""
"Caroline Ansell","Conservative","Eastbourne","No",""
"Tonia Antoniazzi","Labour","Gower","Aye",""
"Edward Argar","Conservative","Charnwood","No",""
"Jonathan Ashworth","Labour","Leicester South","No Vote Recorded",""
"Sarah Atherton","Conservative","Wrexham","No",""
"Victoria Atkins","Conservative","Louth and Horncastle","No",""
"Gareth Bacon","Conservative","Orpington","No",""
"Richard Bacon","Conservative","South Norfolk","No","Stuart Andrew"
"Kemi Badenoch","Conservative","Saffron Walden","No",""
"Shaun Bailey","Conservative","West Bromwich West","No",""
"Siobhan Baillie","Conservative","Stroud","No",""
"Duncan Baker","Conservative","North Norfolk","No",""
"Steve Baker","Conservative","Wycombe","No",""
"Harriett Baldwin","Conservative","West Worcestershire","No",""
"Steve Barclay","Conservative","North East Cambridgeshire","No Vote Recorded",""
"Hannah Bardell","Scottish National Party","Livingston","Aye","Patrick Grady"
"Paula Barker","Labour","Liverpool, Wavertree","Aye",""
"John Baron","Conservative","Basildon and Billericay","No","Stuart Andrew"
"Simon Baynes","Conservative","Clwyd South","No",""
"Margaret Beckett","Labour","Derby South","Aye","Chris Elmore"
"Órfhlaith Begley","Sinn Féin","West Tyrone","No Vote Recorded",""
"Apsana Begum","Labour","Poplar and Limehouse","Aye",""
"Aaron Bell","Conservative","Newcastle-under-Lyme","No",""
"Hilary Benn","Labour","Leeds Central","Aye",""
"Scott Benton","Conservative","Blackpool South","No",""
"Paul Beresford","Conservative","Mole Valley","No","Stuart Andrew"
"Jake Berry","Conservative","Rossendale and Darwen","No","Stuart Andrew"
"Clive Betts","Labour","Sheffield South East","Aye","Chris Elmore"
"Saqib Bhatti","Conservative","Meriden","No",""
"Mhairi Black","Scottish National Party","Paisley and Renfrewshire South","Aye","Patrick Grady"
"Ian Blackford","Scottish National Party","Ross, Skye and Lochaber","Aye","Patrick Grady"
"Bob Blackman","Conservative","Harrow East","No","Stuart Andrew"
"Kirsty Blackman","Scottish National Party","Aberdeen North","Aye","Patrick Grady"
"Olivia Blake","Labour","Sheffield, Hallam","Aye",""
"Paul Blomfield","Labour","Sheffield Central","No Vote Recorded",""
"Crispin Blunt","Conservative","Reigate","No","Stuart Andrew"
"Peter Bone","Conservative","Wellingborough","No","Stuart Andrew"
"Steven Bonnar","Scottish National Party","Coatbridge, Chryston and Bellshill","Aye","Patrick Grady"
"Peter Bottomley","Conservative","Worthing West","No Vote Recorded",""
"Andrew Bowie","Conservative","West Aberdeenshire and Kincardine","No",""
"Tracy Brabin","Labour","Batley and Spen","Aye",""
"Ben Bradley","Conservative","Mansfield","No",""
"Karen Bradley","Conservative","Staffordshire Moorlands","No Vote Recorded",""
"Ben Bradshaw","Labour","Exeter","Aye","Chris Elmore"
"Mickey Brady","Sinn Féin","Newry and Armagh","No Vote Recorded",""
"Graham Brady","Conservative","Altrincham and Sale West","No",""
"Suella Braverman","Conservative","Fareham","No",""
"Kevin Brennan","Labour","Cardiff West","Aye","Chris Elmore"
"Jack Brereton","Conservative","Stoke-on-Trent South","No",""
"Andrew Bridgen","Conservative","North West Leicestershire","No","Stuart Andrew"
"Steve Brine","Conservative","Winchester","No",""
"Paul Bristow","Conservative","Peterborough","No",""
"Sara Britcliffe","Conservative","Hyndburn","No",""
"Deidre Brock","Scottish National Party","Edinburgh North and Leith","Aye",""
"James Brokenshire","Conservative","Old Bexley and Sidcup","No",""
"Alan Brown","Scottish National Party","Kilmarnock and Loudoun","Aye","Patrick Grady"
"Nicholas Brown","Labour","Newcastle upon Tyne East","Aye",""
"Lyn Brown","Labour","West Ham","Aye","Chris Elmore"
"Anthony Browne","Conservative","South Cambridgeshire","No",""
"Fiona Bruce","Conservative","Congleton","No",""
"Chris Bryant","Labour","Rhondda","Aye","Chris Elmore"
"Felicity Buchan","Conservative","Kensington","No",""
"Karen Buck","Labour","Westminster North","Aye",""
"Robert Buckland","Conservative","South Swindon","No",""
"Alex Burghart","Conservative","Brentwood and Ongar","No",""
"Richard Burgon","Labour","Leeds East","Aye","Zarah Sultana"
"Conor Burns","Conservative","Bournemouth West","No","Stuart Andrew"
"Dawn Butler","Labour","Brent Central","Aye",""
"Rob Butler","Conservative","Aylesbury","No",""
"Ian Byrne","Labour","Liverpool, West Derby","Aye",""
"Liam Byrne","Labour","Birmingham, Hodge Hill","Aye","Chris Elmore"
"Ruth Cadbury","Labour","Brentford and Isleworth","Aye","Chris Elmore"
"Alun Cairns","Conservative","Vale of Glamorgan","No",""
"Amy Callaghan","Scottish National Party","East Dunbartonshire","Aye","Patrick Grady"
"Lisa Cameron","Scottish National Party","East Kilbride, Strathaven and Lesmahagow","Aye",""
"Gregory Campbell","Democratic Unionist Party","East Londonderry","Aye",""
"Alan Campbell","Labour","Tynemouth","Aye",""
"Dan Carden","Labour","Liverpool, Walton","Aye",""
"Alistair Carmichael","Liberal Democrat","Orkney and Shetland","Aye",""
"Andy Carter","Conservative","Warrington South","No",""
"James Cartlidge","Conservative","South Suffolk","No",""
"William Cash","Conservative","Stone","No","Stuart Andrew"
"Miriam Cates","Conservative","Penistone and Stocksbridge","No",""
"Maria Caulfield","Conservative","Lewes","No",""
"Alex Chalk","Conservative","Cheltenham","No",""
"Wendy Chamberlain","Liberal Democrat","North East Fife","Aye",""
"Sarah Champion","Labour","Rotherham","Aye","Chris Elmore"
"Douglas Chapman","Scottish National Party","Dunfermline and West Fife","Aye","Patrick Grady"
"Bambos Charalambous","Labour","Enfield, Southgate","Teller - Ayes",""
"Joanna Cherry","Scottish National Party","Edinburgh South West","Aye","Patrick Grady"
"Rehman Chishti","Conservative","Gillingham and Rainham","No","Stuart Andrew"
"Christopher Chope","Conservative","Christchurch","No Vote Recorded",""
"Jo Churchill","Conservative","Bury St Edmunds","No",""
"Feryal Clark","Labour","Enfield North","Aye",""
"Greg Clark","Conservative","Tunbridge Wells","No Vote Recorded",""
"Brendan Clarke-Smith","Conservative","Bassetlaw","No",""
"Simon Clarke","Conservative","Middlesbrough South and East Cleveland","No","Stuart Andrew"
"Theo Clarke","Conservative","Stafford","No","Stuart Andrew"
"Chris Clarkson","Conservative","Heywood and Middleton","No",""
"James Cleverly","Conservative","Braintree","No",""
"Geoffrey Clifton-Brown","Conservative","The Cotswolds","No",""
"Thérèse Coffey","Conservative","Suffolk Coastal","No",""
"Elliot Colburn","Conservative","Carshalton and Wallington","No",""
"Damian Collins","Conservative","Folkestone and Hythe","No","Stuart Andrew"
"Daisy Cooper","Liberal Democrat","St Albans","Aye",""
"Rosie Cooper","Labour","West Lancashire","Aye","Chris Elmore"
"Yvette Cooper","Labour","Normanton, Pontefract and Castleford","Aye",""
"Jeremy Corbyn","Independent","Islington North","Aye",""
"Alberto Costa","Conservative","South Leicestershire","No","Stuart Andrew"
"Robert Courts","Conservative","Witney","No",""
"Claire Coutinho","Conservative","East Surrey","No","Stuart Andrew"
"Ronnie Cowan","Scottish National Party","Inverclyde","Aye","Patrick Grady"
"Geoffrey Cox","Conservative","Torridge and West Devon","No","Stuart Andrew"
"Neil Coyle","Labour","Bermondsey and Old Southwark","Aye",""
"Stephen Crabb","Conservative","Preseli Pembrokeshire","No",""
"Angela Crawley","Scottish National Party","Lanark and Hamilton East","Aye","Patrick Grady"
"Stella Creasy","Labour","Walthamstow","Aye","Chris Elmore"
"Virginia Crosbie","Conservative","Ynys Môn","No",""
"Tracey Crouch","Conservative","Chatham and Aylesford","No","Caroline Nokes"
"Jon Cruddas","Labour","Dagenham and Rainham","Aye",""
"John Cryer","Labour","Leyton and Wanstead","Aye",""
"Judith Cummins","Labour","Bradford South","Aye",""
"Alex Cunningham","Labour","Stockton North","Aye",""
"Janet Daby","Labour","Lewisham East","Aye","Chris Elmore"
"James Daly","Conservative","Bury North","No",""
"Ed Davey","Liberal Democrat","Kingston and Surbiton","Aye",""
"Wayne David","Labour","Caerphilly","Aye",""
"Alex Davies-Jones","Labour","Pontypridd","Aye",""
"David T C Davies","Conservative","Monmouth","No",""
"James Davies","Conservative","Vale of Clwyd","No",""
"Gareth Davies","Conservative","Grantham and Stamford","No",""
"Geraint Davies","Labour","Swansea West","Aye","Dawn Butler"
"Mims Davies","Conservative","Mid Sussex","No",""
"Philip Davies","Conservative","Shipley","No",""
"David Davis","Conservative","Haltemprice and Howden","Aye",""
"Dehenna Davison","Conservative","Bishop Auckland","No",""
"Martyn Day","Scottish National Party","Linlithgow and East Falkirk","Aye","Patrick Grady"
"Marsha De Cordova","Labour","Battersea","Aye","Rachel Hopkins"
"Thangam Debbonaire","Labour","Bristol West","Aye",""
"Tanmanjeet Singh Dhesi","Labour","Slough","Aye",""
"Caroline Dinenage","Conservative","Gosport","No",""
"Sarah Dines","Conservative","Derbyshire Dales","No",""
"Jonathan Djanogly","Conservative","Huntingdon","No",""
"Martin Docherty-Hughes","Scottish National Party","West Dunbartonshire","Aye","Patrick Grady"
