Division Number: 160
Division Date: 4 November 2020 - 15:59

Health Protection (Coronavirus, Restrictions) (England) (No.4) Regulations 2020

Aye Count: 516
No Count: 38
Result: Question accordingly agreed.

Members recorded
Member,Party,Constituency,Vote,Proxy Member
"Diane Abbott","Labour","Hackney North and Stoke Newington","Aye","Bell Ribeiro-Addy"
"Debbie Abrahams","Labour","Oldham East and Saddleworth","Aye","Chris Elmore"
"Nigel Adams","Conservative","Selby and Ainsty","Aye",""
"Bim Afolami","Conservative","Hitchin and Harpenden","Aye",""
"Adam Afriyie","Conservative","Windsor","No",""
"Imran Ahmad Khan","Conservative","Wakefield","Aye",""
"Nickie Aiken","Conservative","Cities of London and Westminster","Aye",""
"Peter Aldous","Conservative","Waveney","Aye",""
"Rushanara Ali","Labour","Bethnal Green and Bow","Aye","Chris Elmore"
"Tahir Ali","Labour","Birmingham, Hall Green","Aye","Chris Elmore"
"Lucy Allan","Conservative","Telford","Aye",""
"Rosena Allin-Khan","Labour","Tooting","Aye","Chris Elmore"
"Mike Amesbury","Labour","Weaver Vale","Aye","Chris Elmore"
"David Amess","Conservative","Southend West","Aye",""
"Fleur Anderson","Labour","Putney","Aye",""
"Lee Anderson","Conservative","Ashfield","Aye",""
"Stuart Anderson","Conservative","Wolverhampton South West","Aye",""
"Stuart Andrew","Conservative","Pudsey","Aye",""
"Caroline Ansell","Conservative","Eastbourne","Aye",""
"Tonia Antoniazzi","Labour","Gower","Aye",""
"Edward Argar","Conservative","Charnwood","Aye",""
"Jonathan Ashworth","Labour","Leicester South","Aye",""
"Sarah Atherton","Conservative","Wrexham","Aye",""
"Victoria Atkins","Conservative","Louth and Horncastle","Aye",""
"Gareth Bacon","Conservative","Orpington","Aye",""
"Richard Bacon","Conservative","South Norfolk","Aye","Stuart Andrew"
"Kemi Badenoch","Conservative","Saffron Walden","Aye",""
"Shaun Bailey","Conservative","West Bromwich West","Aye",""
"Siobhan Baillie","Conservative","Stroud","Aye",""
"Duncan Baker","Conservative","North Norfolk","Aye",""
"Steve Baker","Conservative","Wycombe","Teller - Noes",""
"Harriett Baldwin","Conservative","West Worcestershire","Aye",""
"Steve Barclay","Conservative","North East Cambridgeshire","Aye",""
"Hannah Bardell","Scottish National Party","Livingston","No Vote Recorded",""
"Paula Barker","Labour","Liverpool, Wavertree","Aye",""
"John Baron","Conservative","Basildon and Billericay","Aye","Stuart Andrew"
"Simon Baynes","Conservative","Clwyd South","Aye",""
"Margaret Beckett","Labour","Derby South","Aye","Chris Elmore"
"Órfhlaith Begley","Sinn Féin","West Tyrone","No Vote Recorded",""
"Apsana Begum","Labour","Poplar and Limehouse","Aye",""
"Aaron Bell","Conservative","Newcastle-under-Lyme","Aye",""
"Hilary Benn","Labour","Leeds Central","Aye",""
"Scott Benton","Conservative","Blackpool South","Aye",""
"Paul Beresford","Conservative","Mole Valley","Aye","Stuart Andrew"
"Jake Berry","Conservative","Rossendale and Darwen","Aye","Stuart Andrew"
"Clive Betts","Labour","Sheffield South East","Aye","Chris Elmore"
"Saqib Bhatti","Conservative","Meriden","Aye",""
"Mhairi Black","Scottish National Party","Paisley and Renfrewshire South","No Vote Recorded",""
"Ian Blackford","Scottish National Party","Ross, Skye and Lochaber","No Vote Recorded",""
"Bob Blackman","Conservative","Harrow East","Aye","Stuart Andrew"
"Kirsty Blackman","Scottish National Party","Aberdeen North","No Vote Recorded",""
"Olivia Blake","Labour","Sheffield, Hallam","Aye",""
"Paul Blomfield","Labour","Sheffield Central","No Vote Recorded",""
"Crispin Blunt","Conservative","Reigate","Aye","Stuart Andrew"
"Peter Bone","Conservative","Wellingborough","No","Stuart Andrew"
"Steven Bonnar","Scottish National Party","Coatbridge, Chryston and Bellshill","No Vote Recorded",""
"Peter Bottomley","Conservative","Worthing West","Aye",""
"Andrew Bowie","Conservative","West Aberdeenshire and Kincardine","No Vote Recorded",""
"Tracy Brabin","Labour","Batley and Spen","Aye",""
"Ben Bradley","Conservative","Mansfield","Aye",""
"Karen Bradley","Conservative","Staffordshire Moorlands","Aye",""
"Ben Bradshaw","Labour","Exeter","Aye","Chris Elmore"
"Mickey Brady","Sinn Féin","Newry and Armagh","No Vote Recorded",""
"Graham Brady","Conservative","Altrincham and Sale West","No",""
"Suella Braverman","Conservative","Fareham","Aye","Stuart Andrew"
"Kevin Brennan","Labour","Cardiff West","Aye","Chris Elmore"
"Jack Brereton","Conservative","Stoke-on-Trent South","Aye",""
"Andrew Bridgen","Conservative","North West Leicestershire","Aye","Stuart Andrew"
"Steve Brine","Conservative","Winchester","No",""
"Paul Bristow","Conservative","Peterborough","Aye",""
"Sara Britcliffe","Conservative","Hyndburn","Aye",""
"Deidre Brock","Scottish National Party","Edinburgh North and Leith","No Vote Recorded",""
"James Brokenshire","Conservative","Old Bexley and Sidcup","Aye",""
"Alan Brown","Scottish National Party","Kilmarnock and Loudoun","No Vote Recorded",""
"Nicholas Brown","Labour","Newcastle upon Tyne East","Aye",""
"Lyn Brown","Labour","West Ham","Aye","Chris Elmore"
"Anthony Browne","Conservative","South Cambridgeshire","Aye",""
"Fiona Bruce","Conservative","Congleton","Aye",""
"Chris Bryant","Labour","Rhondda","Aye","Chris Elmore"
"Felicity Buchan","Conservative","Kensington","Aye",""
"Karen Buck","Labour","Westminster North","Aye","Chris Elmore"
"Robert Buckland","Conservative","South Swindon","Aye",""
"Alex Burghart","Conservative","Brentwood and Ongar","Aye",""
"Richard Burgon","Labour","Leeds East","Aye","Zarah Sultana"
"Conor Burns","Conservative","Bournemouth West","Aye","Stuart Andrew"
"Dawn Butler","Labour","Brent Central","Aye",""
"Rob Butler","Conservative","Aylesbury","Aye",""
"Ian Byrne","Labour","Liverpool, West Derby","Aye",""
"Liam Byrne","Labour","Birmingham, Hodge Hill","Aye","Chris Elmore"
"Ruth Cadbury","Labour","Brentford and Isleworth","Aye","Chris Elmore"
"Alun Cairns","Conservative","Vale of Glamorgan","Aye",""
"Amy Callaghan","Scottish National Party","East Dunbartonshire","No Vote Recorded",""
"Lisa Cameron","Scottish National Party","East Kilbride, Strathaven and Lesmahagow","No Vote Recorded",""
"Gregory Campbell","Democratic Unionist Party","East Londonderry","No Vote Recorded",""
"Alan Campbell","Labour","Tynemouth","Aye",""
"Dan Carden","Labour","Liverpool, Walton","Aye",""
"Alistair Carmichael","Liberal Democrat","Orkney and Shetland","Aye",""
"Andy Carter","Conservative","Warrington South","Aye",""
"James Cartlidge","Conservative","South Suffolk","Aye",""
"William Cash","Conservative","Stone","Aye","Stuart Andrew"
"Miriam Cates","Conservative","Penistone and Stocksbridge","Aye",""
"Maria Caulfield","Conservative","Lewes","Aye",""
"Alex Chalk","Conservative","Cheltenham","Aye",""
"Wendy Chamberlain","Liberal Democrat","North East Fife","Aye",""
"Sarah Champion","Labour","Rotherham","Aye","Chris Elmore"
"Douglas Chapman","Scottish National Party","Dunfermline and West Fife","No Vote Recorded",""
"Bambos Charalambous","Labour","Enfield, Southgate","Aye",""
"Joanna Cherry","Scottish National Party","Edinburgh South West","No Vote Recorded",""
"Rehman Chishti","Conservative","Gillingham and Rainham","Aye","Stuart Andrew"
"Christopher Chope","Conservative","Christchurch","No",""
"Jo Churchill","Conservative","Bury St Edmunds","Aye",""
"Feryal Clark","Labour","Enfield North","Aye",""
"Greg Clark","Conservative","Tunbridge Wells","Aye",""
"Brendan Clarke-Smith","Conservative","Bassetlaw","Aye",""
"Simon Clarke","Conservative","Middlesbrough South and East Cleveland","Aye","Stuart Andrew"
"Theo Clarke","Conservative","Stafford","Aye","Stuart Andrew"
"Chris Clarkson","Conservative","Heywood and Middleton","Aye",""
"James Cleverly","Conservative","Braintree","Aye",""
"Geoffrey Clifton-Brown","Conservative","The Cotswolds","No",""
"Thérèse Coffey","Conservative","Suffolk Coastal","Aye",""
"Elliot Colburn","Conservative","Carshalton and Wallington","Aye",""
"Damian Collins","Conservative","Folkestone and Hythe","Aye","Stuart Andrew"
"Daisy Cooper","Liberal Democrat","St Albans","Aye","Wendy Chamberlain"
"Rosie Cooper","Labour","West Lancashire","Aye","Chris Elmore"
"Yvette Cooper","Labour","Normanton, Pontefract and Castleford","Aye",""
"Jeremy Corbyn","Independent","Islington North","Aye","Bell Ribeiro-Addy"
"Alberto Costa","Conservative","South Leicestershire","Aye","Stuart Andrew"
"Robert Courts","Conservative","Witney","Aye",""
"Claire Coutinho","Conservative","East Surrey","Aye","Stuart Andrew"
"Ronnie Cowan","Scottish National Party","Inverclyde","No Vote Recorded",""
"Geoffrey Cox","Conservative","Torridge and West Devon","Aye","Stuart Andrew"
"Neil Coyle","Labour","Bermondsey and Old Southwark","Aye",""
"Stephen Crabb","Conservative","Preseli Pembrokeshire","Aye",""
"Angela Crawley","Scottish National Party","Lanark and Hamilton East","No Vote Recorded",""
"Stella Creasy","Labour","Walthamstow","Aye","Chris Elmore"
"Virginia Crosbie","Conservative","Ynys Môn","Aye",""
"Tracey Crouch","Conservative","Chatham and Aylesford","Aye","Caroline Nokes"
"Jon Cruddas","Labour","Dagenham and Rainham","Aye","Chris Elmore"
"John Cryer","Labour","Leyton and Wanstead","Aye","Chris Elmore"
"Judith Cummins","Labour","Bradford South","Aye",""
"Alex Cunningham","Labour","Stockton North","Aye",""
"Janet Daby","Labour","Lewisham East","Aye","Chris Elmore"
"James Daly","Conservative","Bury North","No Vote Recorded",""
"Ed Davey","Liberal Democrat","Kingston and Surbiton","Aye",""
"Wayne David","Labour","Caerphilly","Aye",""
"Alex Davies-Jones","Labour","Pontypridd","Aye","Chris Elmore"
"David T C Davies","Conservative","Monmouth","Aye",""
"James Davies","Conservative","Vale of Clwyd","Aye",""
"Gareth Davies","Conservative","Grantham and Stamford","Aye",""
"Geraint Davies","Labour","Swansea West","Aye","Dawn Butler"
"Mims Davies","Conservative","Mid Sussex","Aye",""
"Philip Davies","Conservative","Shipley","No",""
"David Davis","Conservative","Haltemprice and Howden","Aye","Stuart Andrew"
"Dehenna Davison","Conservative","Bishop Auckland","Aye",""
"Martyn Day","Scottish National Party","Linlithgow and East Falkirk","No Vote Recorded",""
