Division Number: 176
Division Date: 7 December 2020 - 20:55

United Kingdom Internal Market Bill: Lords Amendment 1 Motion to disagree

Aye Count: 359
No Count: 265
Result: Question accordingly agreed.

Members recorded
Member,Party,Constituency,Vote,Proxy Member
"Diane Abbott","Labour","Hackney North and Stoke Newington","No","Bell Ribeiro-Addy"
"Debbie Abrahams","Labour","Oldham East and Saddleworth","No","Chris Elmore"
"Nigel Adams","Conservative","Selby and Ainsty","Aye","Stuart Andrew"
"Bim Afolami","Conservative","Hitchin and Harpenden","Aye",""
"Adam Afriyie","Conservative","Windsor","Aye",""
"Imran Ahmad Khan","Conservative","Wakefield","Aye","Stuart Andrew"
"Nickie Aiken","Conservative","Cities of London and Westminster","Aye","Stuart Andrew"
"Peter Aldous","Conservative","Waveney","Aye",""
"Rushanara Ali","Labour","Bethnal Green and Bow","No",""
"Tahir Ali","Labour","Birmingham, Hall Green","No","Chris Elmore"
"Lucy Allan","Conservative","Telford","Aye","Mark Spencer"
"Rosena Allin-Khan","Labour","Tooting","No","Chris Elmore"
"Mike Amesbury","Labour","Weaver Vale","No","Chris Elmore"
"David Amess","Conservative","Southend West","Aye","Stuart Andrew"
"Fleur Anderson","Labour","Putney","No","Chris Elmore"
"Lee Anderson","Conservative","Ashfield","Aye","Mark Spencer"
"Stuart Anderson","Conservative","Wolverhampton South West","Aye","Stuart Andrew"
"Stuart Andrew","Conservative","Pudsey","Aye",""
"Caroline Ansell","Conservative","Eastbourne","Aye","Stuart Andrew"
"Tonia Antoniazzi","Labour","Gower","No","Chris Elmore"
"Edward Argar","Conservative","Charnwood","Aye","Stuart Andrew"
"Jonathan Ashworth","Labour","Leicester South","No",""
"Sarah Atherton","Conservative","Wrexham","Aye","Stuart Andrew"
"Victoria Atkins","Conservative","Louth and Horncastle","Aye","Stuart Andrew"
"Gareth Bacon","Conservative","Orpington","Aye",""
"Richard Bacon","Conservative","South Norfolk","Aye","Stuart Andrew"
"Kemi Badenoch","Conservative","Saffron Walden","Aye","Stuart Andrew"
"Shaun Bailey","Conservative","West Bromwich West","Aye",""
"Siobhan Baillie","Conservative","Stroud","Aye","Stuart Andrew"
"Duncan Baker","Conservative","North Norfolk","Aye",""
"Steve Baker","Conservative","Wycombe","Aye",""
"Harriett Baldwin","Conservative","West Worcestershire","Aye",""
"Steve Barclay","Conservative","North East Cambridgeshire","Aye","Stuart Andrew"
"Hannah Bardell","Scottish National Party","Livingston","No","Patrick Grady"
"Paula Barker","Labour","Liverpool, Wavertree","No",""
"John Baron","Conservative","Basildon and Billericay","Aye","Stuart Andrew"
"Simon Baynes","Conservative","Clwyd South","Aye","Stuart Andrew"
"Margaret Beckett","Labour","Derby South","No","Chris Elmore"
"Órfhlaith Begley","Sinn Féin","West Tyrone","No Vote Recorded",""
"Apsana Begum","Labour","Poplar and Limehouse","No","Bell Ribeiro-Addy"
"Aaron Bell","Conservative","Newcastle-under-Lyme","Aye",""
"Hilary Benn","Labour","Leeds Central","No",""
"Scott Benton","Conservative","Blackpool South","Aye","Stuart Andrew"
"Paul Beresford","Conservative","Mole Valley","Aye","Stuart Andrew"
"Jake Berry","Conservative","Rossendale and Darwen","Aye","Stuart Andrew"
"Clive Betts","Labour","Sheffield South East","No","Chris Elmore"
"Saqib Bhatti","Conservative","Meriden","Aye","Stuart Andrew"
"Mhairi Black","Scottish National Party","Paisley and Renfrewshire South","No","Patrick Grady"
"Ian Blackford","Scottish National Party","Ross, Skye and Lochaber","No","Patrick Grady"
"Bob Blackman","Conservative","Harrow East","Aye","Stuart Andrew"
"Kirsty Blackman","Scottish National Party","Aberdeen North","No","Patrick Grady"
"Olivia Blake","Labour","Sheffield, Hallam","No","Chris Elmore"
"Paul Blomfield","Labour","Sheffield Central","No","Chris Elmore"
"Crispin Blunt","Conservative","Reigate","Aye","Stuart Andrew"
"Peter Bone","Conservative","Wellingborough","Aye","Stuart Andrew"
"Steven Bonnar","Scottish National Party","Coatbridge, Chryston and Bellshill","No","Patrick Grady"
"Peter Bottomley","Conservative","Worthing West","Aye",""
"Andrew Bowie","Conservative","West Aberdeenshire and Kincardine","Aye",""
"Tracy Brabin","Labour","Batley and Spen","No","Chris Elmore"
"Ben Bradley","Conservative","Mansfield","Aye","Stuart Andrew"
"Karen Bradley","Conservative","Staffordshire Moorlands","Aye",""
"Ben Bradshaw","Labour","Exeter","No",""
"Mickey Brady","Sinn Féin","Newry and Armagh","No Vote Recorded",""
"Graham Brady","Conservative","Altrincham and Sale West","No Vote Recorded",""
