Division Number: 217
Division Date: 26 January 2021 - 20:45

Environment Bill: Report Stage: Amendment 24

Aye Count: 227
No Count: 357
Result: Question accordingly disagreed.

Members recorded
Member,Party,Constituency,Vote,Proxy Member
"Diane Abbott","Labour","Hackney North and Stoke Newington","Aye","Bell Ribeiro-Addy"
"Debbie Abrahams","Labour","Oldham East and Saddleworth","Aye","Mark Tami"
"Nigel Adams","Conservative","Selby and Ainsty","No","Stuart Andrew"
"Bim Afolami","Conservative","Hitchin and Harpenden","No","Stuart Andrew"
"Adam Afriyie","Conservative","Windsor","No",""
"Imran Ahmad Khan","Conservative","Wakefield","No","Stuart Andrew"
"Nickie Aiken","Conservative","Cities of London and Westminster","No","Stuart Andrew"
"Peter Aldous","Conservative","Waveney","No","Stuart Andrew"
"Rushanara Ali","Labour","Bethnal Green and Bow","Aye","Mark Tami"
"Tahir Ali","Labour","Birmingham, Hall Green","Aye","Mark Tami"
"Lucy Allan","Conservative","Telford","No","Stuart Andrew"
"Rosena Allin-Khan","Labour","Tooting","Aye","Mark Tami"
"Mike Amesbury","Labour","Weaver Vale","Aye","Mark Tami"
"David Amess","Conservative","Southend West","No","Stuart Andrew"
"Fleur Anderson","Labour","Putney","Aye","Mark Tami"
"Lee Anderson","Conservative","Ashfield","No","Chris Loder"
"Stuart Anderson","Conservative","Wolverhampton South West","No","Stuart Andrew"
"Stuart Andrew","Conservative","Pudsey","No",""
"Caroline Ansell","Conservative","Eastbourne","No","Stuart Andrew"
"Tonia Antoniazzi","Labour","Gower","Aye","Mark Tami"
"Edward Argar","Conservative","Charnwood","No","Stuart Andrew"
"Jonathan Ashworth","Labour","Leicester South","Aye","Mark Tami"
"Sarah Atherton","Conservative","Wrexham","No","Stuart Andrew"
"Victoria Atkins","Conservative","Louth and Horncastle","No","Stuart Andrew"
"Gareth Bacon","Conservative","Orpington","No","Stuart Andrew"
"Richard Bacon","Conservative","South Norfolk","No","Stuart Andrew"
"Kemi Badenoch","Conservative","Saffron Walden","No","Stuart Andrew"
"Shaun Bailey","Conservative","West Bromwich West","No","Stuart Andrew"
"Siobhan Baillie","Conservative","Stroud","No","Stuart Andrew"
"Duncan Baker","Conservative","North Norfolk","No","Stuart Andrew"
"Steve Baker","Conservative","Wycombe","No","Stuart Andrew"
"Harriett Baldwin","Conservative","West Worcestershire","No","Stuart Andrew"
"Steve Barclay","Conservative","North East Cambridgeshire","No","Stuart Andrew"
"Hannah Bardell","Scottish National Party","Livingston","No Vote Recorded",""
"Paula Barker","Labour","Liverpool, Wavertree","Aye","Mark Tami"
