Division Number: 230
Division Date: 10 February 2021

The Health Protection (Coronavirus, Restrictions) (All Tiers and Self-Isolation) (England) (Amendment) Regulations 2021 (SI 2021, No 97)

Aye Count: 526
No Count: 24
Result: Question accordingly agreed.

Members recorded
Member,Party,Constituency,Vote,Proxy Member
"Diane Abbott","Labour","Hackney North and Stoke Newington","Aye","Bell Ribeiro-Addy"
"Debbie Abrahams","Labour","Oldham East and Saddleworth","Aye","Mark Tami"
"Nigel Adams","Conservative","Selby and Ainsty","Aye","Stuart Andrew"
"Bim Afolami","Conservative","Hitchin and Harpenden","Aye","Stuart Andrew"
"Adam Afriyie","Conservative","Windsor","No",""
"Imran Ahmad Khan","Conservative","Wakefield","Aye","Stuart Andrew"
"Nickie Aiken","Conservative","Cities of London and Westminster","Aye","Stuart Andrew"
"Peter Aldous","Conservative","Waveney","Aye","Stuart Andrew"
"Rushanara Ali","Labour","Bethnal Green and Bow","Aye","Mark Tami"
"Tahir Ali","Labour","Birmingham, Hall Green","Aye","Mark Tami"
"Lucy Allan","Conservative","Telford","Aye","Stuart Andrew"
"Rosena Allin-Khan","Labour","Tooting","Aye","Mark Tami"
"Mike Amesbury","Labour","Weaver Vale","Aye","Mark Tami"
"David Amess","Conservative","Southend West","Aye","Stuart Andrew"
"Fleur Anderson","Labour","Putney","Aye","Mark Tami"
"Lee Anderson","Conservative","Ashfield","Aye","Chris Loder"
"Stuart Anderson","Conservative","Wolverhampton South West","Aye","Stuart Andrew"
"Stuart Andrew","Conservative","Pudsey","Aye",""
"Caroline Ansell","Conservative","Eastbourne","Aye","Stuart Andrew"
"Tonia Antoniazzi","Labour","Gower","Aye","Mark Tami"
"Edward Argar","Conservative","Charnwood","Aye","Stuart Andrew"
"Jonathan Ashworth","Labour","Leicester South","Aye","Mark Tami"
"Sarah Atherton","Conservative","Wrexham","Aye","Stuart Andrew"
"Victoria Atkins","Conservative","Louth and Horncastle","Aye","Stuart Andrew"
"Gareth Bacon","Conservative","Orpington","Aye","Stuart Andrew"
"Richard Bacon","Conservative","South Norfolk","Aye","Stuart Andrew"
"Kemi Badenoch","Conservative","Saffron Walden","Aye","Stuart Andrew"
"Shaun Bailey","Conservative","West Bromwich West","Aye","Stuart Andrew"
"Siobhan Baillie","Conservative","Stroud","Aye","Stuart Andrew"
"Duncan Baker","Conservative","North Norfolk","Aye","Stuart Andrew"
"Steve Baker","Conservative","Wycombe","No","Stuart Andrew"
"Harriett Baldwin","Conservative","West Worcestershire","Aye","Stuart Andrew"
"Steve Barclay","Conservative","North East Cambridgeshire","Aye","Stuart Andrew"
