Division Number: 243
Division Date: 22 March 2021 - 19:41

Trade Bill: Amendment (a) to the motion to insist on Amendments 3C and 3D and disagree with Lords Amendment 3E

Aye Count: 300
No Count: 318
Result: Question accordingly disagreed.

Members recorded
Member,Party,Constituency,Vote,Proxy Member
"Diane Abbott","Labour","Hackney North and Stoke Newington","Aye","Bell Ribeiro-Addy"
"Debbie Abrahams","Labour","Oldham East and Saddleworth","Aye","Alan Campbell"
"Nigel Adams","Conservative","Selby and Ainsty","No","Stuart Andrew"
"Bim Afolami","Conservative","Hitchin and Harpenden","No","Stuart Andrew"
"Adam Afriyie","Conservative","Windsor","Aye","Stuart Andrew"
"Imran Ahmad Khan","Conservative","Wakefield","No Vote Recorded",""
"Nickie Aiken","Conservative","Cities of London and Westminster","No","Stuart Andrew"
"Peter Aldous","Conservative","Waveney","No","Stuart Andrew"
"Rushanara Ali","Labour","Bethnal Green and Bow","Aye","Alan Campbell"
"Tahir Ali","Labour","Birmingham, Hall Green","Aye","Alan Campbell"
"Lucy Allan","Conservative","Telford","No","Stuart Andrew"
"Rosena Allin-Khan","Labour","Tooting","Aye","Alan Campbell"
"Mike Amesbury","Labour","Weaver Vale","Aye","Alan Campbell"
"David Amess","Conservative","Southend West","Aye","Stuart Andrew"
"Fleur Anderson","Labour","Putney","Aye","Alan Campbell"
"Lee Anderson","Conservative","Ashfield","No","Robbie Moore"
"Stuart Anderson","Conservative","Wolverhampton South West","No","Stuart Andrew"
"Stuart Andrew","Conservative","Pudsey","No",""
"Caroline Ansell","Conservative","Eastbourne","No","Stuart Andrew"
"Tonia Antoniazzi","Labour","Gower","Aye","Alan Campbell"
"Edward Argar","Conservative","Charnwood","No","Stuart Andrew"
"Jonathan Ashworth","Labour","Leicester South","Aye","Alan Campbell"
"Sarah Atherton","Conservative","Wrexham","No","Stuart Andrew"
"Victoria Atkins","Conservative","Louth and Horncastle","No","Stuart Andrew"
"Gareth Bacon","Conservative","Orpington","No","Stuart Andrew"
"Richard Bacon","Conservative","South Norfolk","No","Stuart Andrew"
"Kemi Badenoch","Conservative","Saffron Walden","No","Stuart Andrew"
"Shaun Bailey","Conservative","West Bromwich West","No","Stuart Andrew"
"Siobhan Baillie","Conservative","Stroud","No","Stuart Andrew"
"Duncan Baker","Conservative","North Norfolk","No","Stuart Andrew"
"Steve Baker","Conservative","Wycombe","No",""
"Harriett Baldwin","Conservative","West Worcestershire","No","Stuart Andrew"
"Steve Barclay","Conservative","North East Cambridgeshire","No","Stuart Andrew"
"Hannah Bardell","Scottish National Party","Livingston","Aye","Owen Thompson"
"Paula Barker","Labour","Liverpool, Wavertree","Aye","Alan Campbell"
"John Baron","Conservative","Basildon and Billericay","No","Stuart Andrew"
"Simon Baynes","Conservative","Clwyd South","No","Stuart Andrew"
"Margaret Beckett","Labour","Derby South","Aye","Alan Campbell"
"Órfhlaith Begley","Sinn Féin","West Tyrone","No Vote Recorded",""
"Apsana Begum","Labour","Poplar and Limehouse","Aye","Bell Ribeiro-Addy"
"Aaron Bell","Conservative","Newcastle-under-Lyme","No","Stuart Andrew"
"Hilary Benn","Labour","Leeds Central","Aye","Alan Campbell"
"Scott Benton","Conservative","Blackpool South","No","Stuart Andrew"
"Paul Beresford","Conservative","Mole Valley","No","Stuart Andrew"
"Jake Berry","Conservative","Rossendale and Darwen","No","Stuart Andrew"
"Clive Betts","Labour","Sheffield South East","Aye","Alan Campbell"
"Saqib Bhatti","Conservative","Meriden","No","Stuart Andrew"
"Mhairi Black","Scottish National Party","Paisley and Renfrewshire South","Aye","Owen Thompson"
"Ian Blackford","Scottish National Party","Ross, Skye and Lochaber","Aye","Owen Thompson"
"Bob Blackman","Conservative","Harrow East","Aye","Stuart Andrew"
"Kirsty Blackman","Scottish National Party","Aberdeen North","Aye","Owen Thompson"
"Olivia Blake","Labour","Sheffield, Hallam","Aye","Alan Campbell"
"Paul Blomfield","Labour","Sheffield Central","Aye","Alan Campbell"
"Crispin Blunt","Conservative","Reigate","Aye","Stuart Andrew"
"Peter Bone","Conservative","Wellingborough","Aye","Stuart Andrew"
"Steven Bonnar","Scottish National Party","Coatbridge, Chryston and Bellshill","Aye","Owen Thompson"
"Peter Bottomley","Conservative","Worthing West","No Vote Recorded",""
"Andrew Bowie","Conservative","West Aberdeenshire and Kincardine","No","Stuart Andrew"
"Tracy Brabin","Labour","Batley and Spen","Aye","Alan Campbell"
"Ben Bradley","Conservative","Mansfield","No","Stuart Andrew"
"Karen Bradley","Conservative","Staffordshire Moorlands","No Vote Recorded",""
"Ben Bradshaw","Labour","Exeter","Aye","Alan Campbell"
"Mickey Brady","Sinn Féin","Newry and Armagh","No Vote Recorded",""
"Graham Brady","Conservative","Altrincham and Sale West","No Vote Recorded",""
"Suella Braverman","Conservative","Fareham","No","Stuart Andrew"
"Kevin Brennan","Labour","Cardiff West","Aye","Alan Campbell"
"Jack Brereton","Conservative","Stoke-on-Trent South","No","Stuart Andrew"
"Andrew Bridgen","Conservative","North West Leicestershire","Aye","Stuart Andrew"
"Steve Brine","Conservative","Winchester","No","Stuart Andrew"
"Paul Bristow","Conservative","Peterborough","No","Stuart Andrew"
"Sara Britcliffe","Conservative","Hyndburn","No","Stuart Andrew"
"Deidre Brock","Scottish National Party","Edinburgh North and Leith","Aye","Owen Thompson"
"James Brokenshire","Conservative","Old Bexley and Sidcup","No","Stuart Andrew"
"Alan Brown","Scottish National Party","Kilmarnock and Loudoun","Aye","Owen Thompson"
"Nicholas Brown","Labour","Newcastle upon Tyne East","Aye",""
"Lyn Brown","Labour","West Ham","Aye","Alan Campbell"
"Anthony Browne","Conservative","South Cambridgeshire","No","Stuart Andrew"
"Fiona Bruce","Conservative","Congleton","No Vote Recorded",""
"Chris Bryant","Labour","Rhondda","Aye","Alan Campbell"
"Felicity Buchan","Conservative","Kensington","No","Stuart Andrew"
"Karen Buck","Labour","Westminster North","Aye","Alan Campbell"
"Robert Buckland","Conservative","South Swindon","No","Stuart Andrew"
"Alex Burghart","Conservative","Brentwood and Ongar","No","Stuart Andrew"
"Richard Burgon","Labour","Leeds East","Aye","Bell Ribeiro-Addy"
"Conor Burns","Conservative","Bournemouth West","No","Stuart Andrew"
"Dawn Butler","Labour","Brent Central","Aye","Bell Ribeiro-Addy"
"Rob Butler","Conservative","Aylesbury","No","Stuart Andrew"
"Ian Byrne","Labour","Liverpool, West Derby","Aye","Alan Campbell"
"Liam Byrne","Labour","Birmingham, Hodge Hill","Aye","Alan Campbell"
"Ruth Cadbury","Labour","Brentford and Isleworth","Aye","Alan Campbell"
"Alun Cairns","Conservative","Vale of Glamorgan","No","Stuart Andrew"
"Amy Callaghan","Scottish National Party","East Dunbartonshire","Aye","Owen Thompson"
"Lisa Cameron","Scottish National Party","East Kilbride, Strathaven and Lesmahagow","Aye","Owen Thompson"
"Gregory Campbell","Democratic Unionist Party","East Londonderry","Aye","Ian Paisley"
"Alan Campbell","Labour","Tynemouth","Aye",""
"Dan Carden","Labour","Liverpool, Walton","Aye","Alan Campbell"
"Alistair Carmichael","Liberal Democrat","Orkney and Shetland","Aye","Wendy Chamberlain"
"Andy Carter","Conservative","Warrington South","No","Stuart Andrew"
"James Cartlidge","Conservative","South Suffolk","No","Stuart Andrew"
"William Cash","Conservative","Stone","No","Stuart Andrew"
"Miriam Cates","Conservative","Penistone and Stocksbridge","No","Stuart Andrew"
"Maria Caulfield","Conservative","Lewes","Teller - Noes",""
"Alex Chalk","Conservative","Cheltenham","No","Stuart Andrew"
"Wendy Chamberlain","Liberal Democrat","North East Fife","Aye",""
"Sarah Champion","Labour","Rotherham","Aye","Alan Campbell"
"Douglas Chapman","Scottish National Party","Dunfermline and West Fife","Aye","Owen Thompson"
"Bambos Charalambous","Labour","Enfield, Southgate","Teller - Ayes",""
"Joanna Cherry","Scottish National Party","Edinburgh South West","Aye","Owen Thompson"
"Rehman Chishti","Conservative","Gillingham and Rainham","Aye","Stuart Andrew"
"Christopher Chope","Conservative","Christchurch","Aye",""
"Jo Churchill","Conservative","Bury St Edmunds","No","Stuart Andrew"
"Feryal Clark","Labour","Enfield North","Aye","Alan Campbell"
"Greg Clark","Conservative","Tunbridge Wells","No","Stuart Andrew"
"Brendan Clarke-Smith","Conservative","Bassetlaw","No","Stuart Andrew"
"Simon Clarke","Conservative","Middlesbrough South and East Cleveland","No","Stuart Andrew"
"Theo Clarke","Conservative","Stafford","No","Stuart Andrew"
"Chris Clarkson","Conservative","Heywood and Middleton","No","Stuart Andrew"
"James Cleverly","Conservative","Braintree","No","Stuart Andrew"
"Geoffrey Clifton-Brown","Conservative","The Cotswolds","No","Stuart Andrew"
"Thérèse Coffey","Conservative","Suffolk Coastal","No","Stuart Andrew"
"Elliot Colburn","Conservative","Carshalton and Wallington","No","Stuart Andrew"
"Damian Collins","Conservative","Folkestone and Hythe","No","Stuart Andrew"
"Daisy Cooper","Liberal Democrat","St Albans","Aye","Wendy Chamberlain"
"Rosie Cooper","Labour","West Lancashire","Aye","Alan Campbell"
"Yvette Cooper","Labour","Normanton, Pontefract and Castleford","Aye","Alan Campbell"
"Jeremy Corbyn","Independent","Islington North","Aye","Bell Ribeiro-Addy"
"Alberto Costa","Conservative","South Leicestershire","No","Stuart Andrew"
"Robert Courts","Conservative","Witney","No","Stuart Andrew"
"Claire Coutinho","Conservative","East Surrey","No","Stuart Andrew"
"Ronnie Cowan","Scottish National Party","Inverclyde","Aye","Owen Thompson"
"Geoffrey Cox","Conservative","Torridge and West Devon","No","Stuart Andrew"
"Neil Coyle","Labour","Bermondsey and Old Southwark","Aye","Alan Campbell"
"Stephen Crabb","Conservative","Preseli Pembrokeshire","No","Stuart Andrew"
"Angela Crawley","Scottish National Party","Lanark and Hamilton East","Aye","Owen Thompson"
"Stella Creasy","Labour","Walthamstow","Aye","Alan Campbell"
"Virginia Crosbie","Conservative","Ynys Môn","No","Stuart Andrew"
"Tracey Crouch","Conservative","Chatham and Aylesford","No Vote Recorded",""
"Jon Cruddas","Labour","Dagenham and Rainham","Aye","Alan Campbell"
"John Cryer","Labour","Leyton and Wanstead","Aye","Alan Campbell"
"Judith Cummins","Labour","Bradford South","No Vote Recorded",""
"Alex Cunningham","Labour","Stockton North","Aye","Alan Campbell"
"Janet Daby","Labour","Lewisham East","Aye","Alan Campbell"
"James Daly","Conservative","Bury North","No","Stuart Andrew"
"Ed Davey","Liberal Democrat","Kingston and Surbiton","Aye","Wendy Chamberlain"
"Wayne David","Labour","Caerphilly","Aye","Alan Campbell"
